pair_id,method,n_leaves,n_F1c_leaves,n_F2c_leaves,n_Amc_leaves,parsimony_score,parsimony_p,nn_concordance,nn_concordance_p,nn3_concordance,nn3_concordance_p,D_statistic,morans_I,morans_p,morans_z,morans_lambda_max,morans_max_perm,morans_I_norm,morans_n,morans_note,notes,n_clusters,morans_p_bh,parsimony_p_bh,nn_concordance_p_bh,nn3_concordance_p_bh
1iytA_2naoF,AF2,12,4,1,7,,,,,,,,-0.0816,0.3047,0.396,0.0446,0.0283,0.0779,12,,,12,0.451796551724138,,,
1iytA_2naoF,AF3,12,5,1,6,,,,,,,,-0.0275,0.013,3.082,0.0446,0.0286,0.5307,12,,,12,0.048608695652173906,,,
1iytA_2naoF,Boltz2,12,5,5,2,,,,,,,,-0.0936,0.4715,-0.125,0.0446,0.0309,-0.0222,12,,,12,0.6800480769230769,,,
1iytA_2naoF,ESM,12,3,3,6,,,,,,,,-0.0833,0.2927,0.379,0.0446,0.0318,0.0623,12,,,12,0.35960285714285717,,,
1iytA_2naoF,MSAT,12,0,0,12,,,,,,,,,,,,,,1,n<3,no_F1F2_split,12,,,,
1iytA_2naoF,CCMpred,12,0,0,12,,,,,,,,,,,,,,1,n<3,no_F1F2_split,12,,,,
1iytA_2naoF,DDG,12,0,0,12,,,,,,,,-0.0084,0.002,3.703,0.0446,0.0389,0.636,12,,no_F1F2_split,12,0.0035833333333333338,,,
1iytA_2naoF,S4PRED,12,4,1,7,,,,,,,,-0.1282,0.99,-1.656,0.0446,0.0052,-0.3886,12,,,12,0.9949999999999999,,,
1jfkA_2nxqB,AF2,100,0,3,97,,,,,,,,-0.0077,0.036,2.828,0.0227,-0.0001,0.2408,100,,no_F1F2_split,100,0.09987096774193548,,,
1jfkA_2nxqB,AF3,100,0,5,95,,,,,,,,-0.0085,0.048,2.268,0.0227,-0.0069,0.5073,100,,no_F1F2_split,100,0.11156756756756757,,,
1jfkA_2nxqB,Boltz2,100,26,24,50,,,,,,,,-0.0082,0.023,2.999,0.0227,0.007,0.1099,100,,,100,0.0784090909090909,,,
1jfkA_2nxqB,ESM,100,28,31,41,,,,,,,,-0.0045,0.002,8.932,0.0227,0.0065,0.3405,100,,,100,0.005733333333333334,,,
1jfkA_2nxqB,MSAT,100,4,5,91,,,,,,,,-0.0514,0.8352,-0.834,-0.0,-0.0342,-0.0861,21,,,100,0.9764727272727274,,,
1jfkA_2nxqB,CCMpred,100,0,1,99,,,,,,,,-0.0492,0.2328,0.455,-0.0,-0.0373,0.0646,21,,no_F1F2_split,100,0.5193230769230769,,,
1jfkA_2nxqB,DDG,100,38,40,22,,,,,,,,-0.0089,0.041,2.018,0.0227,0.0125,0.0513,100,,,100,0.05424615384615385,,,
1jfkA_2nxqB,S4PRED,100,0,0,100,,,,,,,,-0.0097,0.1389,0.793,0.0227,0.0069,0.0256,100,,no_F1F2_split,100,0.19909,,,
1kctA_3t1pA,AF2,100,17,9,74,,,,,,,,-0.0111,0.968,-1.528,0.0246,0.0142,-0.0432,100,,,100,0.979,,,
1kctA_3t1pA,AF3,100,37,1,62,,,,,,,,-0.0052,0.002,7.025,0.0246,0.0147,0.1964,100,,,100,0.010750000000000001,,,
1kctA_3t1pA,Boltz2,100,3,3,94,,,,,,,,-0.0103,0.5624,-0.274,0.0246,0.016,-0.0065,100,,,100,0.7666071428571428,,,
1kctA_3t1pA,ESM,100,0,11,89,,,,,,,,-0.0061,0.005,5.418,0.0246,0.0073,0.2293,100,,no_F1F2_split,100,0.010487804878048781,,,
1kctA_3t1pA,MSAT,100,0,0,100,,,,,,,,-0.0541,0.8501,-0.928,0.0,-0.0399,-0.1194,20,,no_F1F2_split,100,0.9764727272727274,,,
1kctA_3t1pA,CCMpred,100,0,0,100,,,,,,,,-0.0512,0.1558,1.214,0.0,-0.0489,0.3901,20,,no_F1F2_split,100,0.4845636363636363,,,
1kctA_3t1pA,DDG,100,43,37,20,,,,,,,,0.0081,0.001,27.098,0.0246,0.0122,0.8185,100,,,100,0.0019111111111111113,,,
1kctA_3t1pA,S4PRED,100,2,0,98,,,,,,,,-0.0081,0.008,3.283,0.0246,0.016,0.0768,100,,no_F1F2_split,100,0.022193548387096775,,,
1miqB_1qs8B,AF2,100,1,5,94,,,,,,,,-0.0106,0.4735,-0.149,0.1353,0.0998,-0.0048,100,,,100,0.614014705882353,,,
1miqB_1qs8B,AF3,100,1,21,78,,,,,,,,-0.0063,0.0859,1.443,0.1353,0.0967,0.0359,100,,,100,0.1718,,,
1miqB_1qs8B,Boltz2,100,4,4,92,,,,,,,,-0.0074,0.1299,1.086,0.1353,0.1044,0.0237,100,,,100,0.3142741935483871,,,
1miqB_1qs8B,ESM,100,8,0,92,,,,,,,,-0.007,0.1109,1.345,0.1353,0.0625,0.0421,100,,no_F1F2_split,100,0.1445060606060606,,,
1miqB_1qs8B,MSAT,100,0,0,100,,,,,,,,-0.0899,0.8791,-0.966,0.0716,0.0254,-0.1904,15,,no_F1F2_split,100,0.9764727272727274,,,
1miqB_1qs8B,CCMpred,100,0,0,100,,,,,,,,-0.0228,0.002,3.964,0.0716,-0.0392,1.5097,15,,no_F1F2_split,100,0.058,,,
1miqB_1qs8B,DDG,100,38,39,23,,,,,,,,-0.0064,0.0839,1.516,0.1353,0.1045,0.032,100,,,100,0.09750540540540541,,,
1miqB_1qs8B,S4PRED,100,0,0,100,,,,,,,,-0.0089,0.2258,0.476,0.1353,0.1075,0.0105,100,,no_F1F2_split,100,0.30823492063492064,,,
1mnmD_1mnmC,AF2,100,0,0,100,,,,,,,,-0.0104,0.4805,-0.164,0.0748,0.063,-0.0038,100,,no_F1F2_split,100,0.614014705882353,,,
1mnmD_1mnmC,AF3,100,0,0,100,,,,,,,,-0.0054,0.017,3.208,0.0748,0.0566,0.0698,100,,no_F1F2_split,100,0.060916666666666675,,,
1mnmD_1mnmC,Boltz2,100,0,0,100,,,,,,,,,,,,,,0,n<3,no_F1F2_split,100,,,,
1mnmD_1mnmC,ESM,100,0,0,100,,,,,,,,-0.0021,0.003,5.556,0.0748,0.0637,0.1088,100,,no_F1F2_split,100,0.007588235294117647,,,
1mnmD_1mnmC,MSAT,100,0,0,100,,,,,,,,-0.063,0.8312,-1.02,0.0791,0.012,-0.1605,20,,no_F1F2_split,100,0.9764727272727274,,,
1mnmD_1mnmC,CCMpred,100,0,0,100,,,,,,,,-0.05,0.4086,0.2,0.0791,0.0156,0.0385,20,,no_F1F2_split,100,0.674021052631579,,,
1mnmD_1mnmC,DDG,100,8,13,79,,,,,,,,0.0036,0.001,9.437,0.0748,0.0623,0.1894,100,,,100,0.0019111111111111113,,,
1mnmD_1mnmC,S4PRED,100,0,36,64,,,,,,,,-0.0104,0.4985,-0.215,0.0748,0.0428,-0.0055,100,,no_F1F2_split,100,0.5470253164556962,,,
1nocA_1qomB,AF2,100,0,3,97,,,,,,,,-0.0117,0.6354,-0.446,0.179,0.1592,-0.0096,100,,no_F1F2_split,100,0.7485534246575342,,,
1nocA_1qomB,AF3,100,9,2,89,,,,,,,,0.0062,0.001,4.878,0.179,0.1446,0.1056,100,,,100,0.0061428571428571435,,,
1nocA_1qomB,Boltz2,100,2,17,81,,,,,,,,0.0143,0.002,6.987,0.179,0.1657,0.1387,100,,,100,0.013636363636363636,,,
1nocA_1qomB,ESM,100,1,2,97,,,,,,,,-0.0096,0.3347,0.198,0.179,0.1485,0.0029,100,,,100,0.4054112676056338,,,
1nocA_1qomB,MSAT,100,0,0,100,,,,,,,,-0.0687,0.7143,-0.63,0.1425,0.116,-0.0767,19,,no_F1F2_split,100,0.9630666666666667,,,
1nocA_1qomB,CCMpred,100,0,0,100,,,,,,,,,,,,,,19,zero_variance,no_F1F2_split,100,,,,
1nocA_1qomB,DDG,100,34,37,29,,,,,,,,-0.0024,0.041,2.303,0.179,0.1517,0.0479,100,,,100,0.05424615384615385,,,
1nocA_1qomB,S4PRED,100,0,0,100,,,,,,,,-0.0075,0.1688,0.83,0.179,0.1168,0.0205,100,,no_F1F2_split,100,0.23798032786885245,,,
1nqjB_1nqdA,AF2,100,1,26,73,,,,,,,,0.0663,0.001,14.982,0.2413,0.1899,0.3821,100,,,100,0.00781818181818182,,,
1nqjB_1nqdA,AF3,100,15,25,60,,,,,,,,0.0581,0.001,13.565,0.2413,0.2027,0.3204,100,,,100,0.0061428571428571435,,,
1nqjB_1nqdA,Boltz2,100,9,7,84,,,,,,,,-0.002,0.047,1.907,0.2413,0.1772,0.043,100,,,100,0.146875,,,
1nqjB_1nqdA,ESM,100,19,9,72,,,,,,,,-0.0053,0.1199,1.036,0.2413,0.1856,0.0246,100,,,100,0.15163823529411766,,,
1nqjB_1nqdA,MSAT,100,2,1,97,,,,,,,,-0.0862,0.7173,-0.691,0.1513,0.0115,-0.178,15,,,100,0.9630666666666667,,,
1nqjB_1nqdA,CCMpred,100,0,0,100,,,,,,,,,,,,,,15,zero_variance,no_F1F2_split,100,,,,
1nqjB_1nqdA,DDG,100,18,17,65,,,,,,,,-0.0005,0.039,2.11,0.2413,0.1912,0.0476,100,,,100,0.054096774193548386,,,
1nqjB_1nqdA,S4PRED,100,0,5,95,,,,,,,,0.0898,0.001,20.491,0.2413,0.1405,0.6636,100,,no_F1F2_split,100,0.005058823529411765,,,
1nrjB_2gedB,AF2,100,23,18,59,,,,,,,,-0.0038,0.041,2.066,0.1198,0.1094,0.0529,100,,,100,0.10684848484848486,,,
1nrjB_2gedB,AF3,100,28,9,63,,,,,,,,-0.0021,0.02,2.744,0.1198,0.1036,0.0707,100,,,100,0.0688,,,
1nrjB_2gedB,Boltz2,100,16,31,53,,,,,,,,0.0136,0.001,8.506,0.1198,0.112,0.1945,100,,,100,0.009375,,,
1nrjB_2gedB,ESM,100,11,8,81,,,,,,,,-0.0046,0.037,2.04,0.1198,0.1117,0.0453,100,,,100,0.05682142857142857,,,
1nrjB_2gedB,MSAT,100,0,0,100,,,,,,,,-0.0554,0.2857,0.35,0.0435,0.0248,0.0415,18,,no_F1F2_split,100,0.9630666666666667,,,
1nrjB_2gedB,CCMpred,100,0,0,100,,,,,,,,,,,,,,18,zero_variance,no_F1F2_split,100,,,,
1nrjB_2gedB,DDG,100,40,43,17,,,,,,,,0.0656,0.001,27.363,0.1198,0.108,0.6412,100,,,100,0.0019111111111111113,,,
1nrjB_2gedB,S4PRED,100,0,0,100,,,,,,,,-0.0031,0.026,2.471,0.1198,0.0979,0.0646,100,,no_F1F2_split,100,0.05453658536585365,,,
1qb3A_3qy2A,AF2,100,3,1,96,,,,,,,,-0.0079,0.1409,0.977,0.0814,0.0684,0.0286,100,,,100,0.2838,,,
1qb3A_3qy2A,AF3,100,10,2,88,,,,,,,,-0.0076,0.1069,1.223,0.0814,0.0767,0.0287,100,,,100,0.183868,,,
1qb3A_3qy2A,Boltz2,100,13,0,87,,,,,,,,-0.0081,0.1389,1.018,0.0814,0.0791,0.0225,100,,no_F1F2_split,100,0.325546875,,,
1qb3A_3qy2A,ESM,100,2,0,98,,,,,,,,-0.0104,0.5355,-0.18,0.0814,0.056,-0.0044,100,,no_F1F2_split,100,0.598090909090909,,,
1qb3A_3qy2A,MSAT,100,0,0,100,,,,,,,,-0.1276,1.0,-4.957,0.102,0.0375,-0.831,20,,no_F1F2_split,100,1.0,,,
1qb3A_3qy2A,CCMpred,100,0,0,100,,,,,,,,,,,,,,20,zero_variance,no_F1F2_split,100,,,,
1qb3A_3qy2A,DDG,100,27,21,52,,,,,,,,0.0029,0.001,6.445,0.0814,0.0748,0.1532,100,,,100,0.0019111111111111113,,,
1qb3A_3qy2A,S4PRED,100,18,0,82,,,,,,,,0.0039,0.001,6.641,0.0814,0.0764,0.1623,100,,no_F1F2_split,100,0.005058823529411765,,,
1qlnA_1h38D,AF2,100,1,4,95,,,,,,,,-0.0111,0.5395,-0.298,0.1564,0.1277,-0.0072,100,,,100,0.6628142857142857,,,
1qlnA_1h38D,AF3,100,6,18,76,,,,,,,,-0.0094,0.2957,0.243,0.1564,0.1074,0.006,100,,,100,0.41432580645161293,,,
1qlnA_1h38D,Boltz2,100,2,0,98,,,,,,,,-0.0132,0.9411,-1.085,0.1564,0.1303,-0.0223,100,,no_F1F2_split,100,0.9821917808219178,,,
1qlnA_1h38D,ESM,100,20,29,51,,,,,,,,-0.0016,0.016,3.105,0.1564,0.1365,0.0583,100,,,100,0.026980392156862747,,,
1qlnA_1h38D,MSAT,100,0,0,100,,,,,,,,-0.1229,0.7173,-0.588,0.0011,-0.0382,-0.161,10,,no_F1F2_split,100,0.9630666666666667,,,
1qlnA_1h38D,CCMpred,100,0,0,100,,,,,,,,,,,,,,10,zero_variance,no_F1F2_split,100,,,,
1qlnA_1h38D,DDG,100,46,46,8,,,,,,,,0.0492,0.001,22.063,0.1564,0.1343,0.4104,100,,,100,0.0019111111111111113,,,
1qlnA_1h38D,S4PRED,100,0,0,100,,,,,,,,-0.0035,0.024,2.43,0.1564,0.1127,0.0537,100,,no_F1F2_split,100,0.0516,,,
1rk4B_1k0nA,AF2,100,3,13,84,,,,,,,,0.0056,0.007,3.265,0.1966,0.1595,0.0923,100,,,100,0.028666666666666667,,,
1rk4B_1k0nA,AF3,100,0,14,86,,,,,,,,0.0059,0.008,3.312,0.1966,0.1673,0.0904,100,,no_F1F2_split,100,0.03127272727272728,,,
1rk4B_1k0nA,Boltz2,100,4,9,87,,,,,,,,-0.0103,0.4565,-0.065,0.1966,0.1652,-0.0012,100,,,100,0.6800480769230769,,,
1rk4B_1k0nA,ESM,100,6,16,78,,,,,,,,0.0458,0.001,13.606,0.1966,0.1372,0.3791,100,,,100,0.003739130434782609,,,
1rk4B_1k0nA,MSAT,100,0,0,100,,,,,,,,-0.0568,0.2358,0.485,0.1312,-0.0057,0.1624,16,,no_F1F2_split,100,0.9630666666666667,,,
1rk4B_1k0nA,CCMpred,100,0,0,100,,,,,,,,,,,,,,16,zero_variance,no_F1F2_split,100,,,,
1rk4B_1k0nA,DDG,100,27,28,45,,,,,,,,0.0187,0.001,5.857,0.1966,0.1724,0.1577,100,,,100,0.0019111111111111113,,,
1rk4B_1k0nA,S4PRED,100,19,0,81,,,,,,,,0.0073,0.006,3.796,0.1966,0.1744,0.0945,100,,no_F1F2_split,100,0.017793103448275862,,,
1svfC_4wsgC,AF2,4,1,1,2,,,,,,,,-0.2841,0.028,1.834,-0.0,-0.2841,1.0,4,,,4,0.08303448275862069,,,
1svfC_4wsgC,AF3,4,1,0,3,,,,,,,,-0.2812,0.001,2.047,-0.0,-0.2812,1.0,4,,no_F1F2_split,4,0.0061428571428571435,,,
1svfC_4wsgC,Boltz2,4,1,0,3,,,,,,,,-0.3373,0.4266,-0.145,-0.0,-0.2799,-0.0736,4,,no_F1F2_split,4,0.6665625,,,
1svfC_4wsgC,ESM,4,0,1,3,,,,,,,,-0.3521,0.7073,-0.747,-0.0,-0.2889,-0.4222,4,,no_F1F2_split,4,0.7509604938271606,,,
1svfC_4wsgC,MSAT,4,0,1,3,,,,,,,,,,,,,,1,n<3,no_F1F2_split,4,,,,
1svfC_4wsgC,CCMpred,4,0,0,4,,,,,,,,,,,,,,1,n<3,no_F1F2_split,4,,,,
1svfC_4wsgC,DDG,4,2,2,0,,,,,,,,-0.2832,0.0639,2.046,-0.0,-0.2832,1.0,4,,,4,0.076325,,,
1svfC_4wsgC,S4PRED,4,2,2,0,,,,,,,,-0.2876,0.0639,1.915,-0.0,-0.2876,1.0,4,,,4,0.10568076923076923,,,
1wp8C_5ejbC,AF2,15,6,4,5,,,,,,,,-0.0531,0.1798,0.825,0.0984,0.039,0.166,15,,,15,0.3289957446808511,,,
1wp8C_5ejbC,AF3,15,6,6,3,,,,,,,,-0.0452,0.0979,1.21,0.0984,0.0244,0.2734,15,,,15,0.18077916666666669,,,
1wp8C_5ejbC,Boltz2,15,2,0,13,,,,,,,,-0.0627,0.2468,0.496,0.0984,-0.0082,0.1384,15,,no_F1F2_split,15,0.47461538461538455,,,
1wp8C_5ejbC,ESM,15,4,2,9,,,,,,,,-0.0668,0.3467,0.195,0.0984,0.0196,0.0509,15,,,15,0.4141138888888889,,,
1wp8C_5ejbC,MSAT,15,1,0,14,,,,,,,,,,,,,,1,n<3,no_F1F2_split,15,,,,
1wp8C_5ejbC,CCMpred,15,0,0,15,,,,,,,,,,,,,,1,n<3,no_F1F2_split,15,,,,
1wp8C_5ejbC,DDG,15,7,7,1,,,,,,,,0.0254,0.009,4.107,0.0984,0.0605,0.7341,15,,,15,0.013578947368421052,,,
1wp8C_5ejbC,S4PRED,15,5,6,4,,,,,,,,0.0072,0.003,3.364,0.0984,0.0033,1.0525,15,,,15,0.012285714285714285,,,
1x0gD_1x0gA,AF2,100,22,15,63,,,,,,,,0.0058,0.001,6.04,0.1505,0.1007,0.1433,100,,,100,0.00781818181818182,,,
1x0gD_1x0gA,AF3,100,19,27,54,,,,,,,,-0.0049,0.0509,2.043,0.1505,0.0892,0.0526,100,,,100,0.11224102564102563,,,
1x0gD_1x0gA,Boltz2,100,0,0,100,,,,,,,,,,,,,,100,zero_variance,no_F1F2_split,100,,,,
1x0gD_1x0gA,ESM,100,24,3,73,,,,,,,,-0.0039,0.022,2.689,0.1505,0.1262,0.0456,100,,,100,0.03638461538461538,,,
1x0gD_1x0gA,MSAT,100,5,2,93,,,,,,,,-0.041,0.2258,0.391,0.2182,0.1787,0.0394,21,,,100,0.9630666666666667,,,
1x0gD_1x0gA,CCMpred,100,0,0,100,,,,,,,,-0.0697,0.8911,-1.01,0.2182,0.0741,-0.1585,21,,no_F1F2_split,100,0.9322464285714286,,,
1x0gD_1x0gA,DDG,100,33,25,42,,,,,,,,-0.0081,0.1479,0.759,0.1505,0.0932,0.0193,100,,,100,0.1673605263157895,,,
1x0gD_1x0gA,S4PRED,100,1,0,99,,,,,,,,-0.0099,0.3696,0.05,0.1505,0.1182,0.0012,100,,no_F1F2_split,100,0.42380799999999996,,,
1xezA_3o44A,AF2,7,1,0,6,,,,,,,,-0.1607,0.3397,0.207,0.0,-0.0913,0.0785,7,,no_F1F2_split,7,0.47119677419354844,,,
1xezA_3o44A,AF3,7,0,0,7,,,,,,,,-0.1799,0.6863,-0.502,0.0,-0.072,-0.14,7,,no_F1F2_split,7,0.7471113924050633,,,
1xezA_3o44A,Boltz2,7,1,0,6,,,,,,,,-0.1362,0.1738,1.105,0.0,-0.0811,0.3564,7,,no_F1F2_split,7,0.38338235294117645,,,
1xezA_3o44A,ESM,7,0,0,7,,,,,,,,-0.1029,0.011,2.353,0.0,-0.0855,0.7857,7,,no_F1F2_split,7,0.01970833333333333,,,
1xezA_3o44A,MSAT,7,0,0,7,,,,,,,,,,,,,,1,n<3,no_F1F2_split,7,,,,
1xezA_3o44A,CCMpred,7,0,0,7,,,,,,,,,,,,,,1,n<3,no_F1F2_split,7,,,,
1xezA_3o44A,DDG,7,3,2,2,,,,,,,,-0.1471,0.2198,0.722,0.0,-0.1021,0.303,7,,,7,0.236285,,,
1xezA_3o44A,S4PRED,7,0,0,7,,,,,,,,-0.1564,0.2837,0.309,0.0,-0.0648,0.1004,7,,no_F1F2_split,7,0.3485457142857143,,,
1xjuB_1xjtA,AF2,100,7,11,82,,,,,,,,0.0109,0.001,6.148,0.1942,0.1357,0.144,100,,,100,0.00781818181818182,,,
1xjuB_1xjtA,AF3,100,16,24,60,,,,,,,,0.0337,0.001,11.86,0.1942,0.1425,0.2872,100,,,100,0.0061428571428571435,,,
1xjuB_1xjtA,Boltz2,100,3,9,88,,,,,,,,-0.0038,0.0559,1.84,0.1942,0.1114,0.0517,100,,,100,0.16125,,,
1xjuB_1xjtA,ESM,100,15,21,64,,,,,,,,0.0738,0.001,23.049,0.1942,0.1238,0.6266,100,,,100,0.003739130434782609,,,
1xjuB_1xjtA,MSAT,100,1,0,99,,,,,,,,-0.0646,0.7732,-0.589,0.1135,-0.0073,-0.1113,18,,no_F1F2_split,100,0.9764727272727274,,,
1xjuB_1xjtA,CCMpred,100,0,0,100,,,,,,,,,,,,,,18,zero_variance,no_F1F2_split,100,,,,
1xjuB_1xjtA,DDG,100,35,33,32,,,,,,,,0.0104,0.002,5.515,0.1942,0.1517,0.1265,100,,,100,0.0035833333333333338,,,
1xjuB_1xjtA,S4PRED,100,19,0,81,,,,,,,,0.0267,0.001,9.931,0.1942,0.1789,0.1949,100,,no_F1F2_split,100,0.005058823529411765,,,
1xtgB_3j97M,AF2,100,1,0,99,,,,,,,,0.0006,0.002,4.238,0.1002,0.0818,0.1169,100,,no_F1F2_split,100,0.010750000000000001,,,
1xtgB_3j97M,AF3,100,7,0,93,,,,,,,,-0.004,0.026,2.322,0.1002,0.0855,0.064,100,,no_F1F2_split,100,0.0828148148148148,,,
1xtgB_3j97M,Boltz2,100,11,18,71,,,,,,,,-0.0072,0.1189,1.163,0.1002,0.0904,0.0284,100,,,100,0.3075,,,
1xtgB_3j97M,ESM,100,40,40,20,,,,,,,,-0.0009,0.005,3.695,0.1002,0.0793,0.1029,100,,,100,0.010487804878048781,,,
1xtgB_3j97M,MSAT,100,0,0,100,,,,,,,,,,,,,,2,n<3,no_F1F2_split,100,,,,
1xtgB_3j97M,CCMpred,100,0,0,100,,,,,,,,,,,,,,20,zero_variance,no_F1F2_split,100,,,,
1xtgB_3j97M,DDG,100,34,31,35,,,,,,,,0.0253,0.001,13.762,0.1002,0.0844,0.3744,100,,,100,0.0019111111111111113,,,
1xtgB_3j97M,S4PRED,100,4,0,96,,,,,,,,-0.0101,0.4316,-0.014,0.1002,0.0718,0.0004,100,,no_F1F2_split,100,0.48204675324675317,,,
1zk9A_3jv6A,AF2,99,37,28,34,,,,,,,,-0.0084,0.2488,0.528,0.14,0.124,0.0135,99,,,99,0.4114769230769231,,,
1zk9A_3jv6A,AF3,99,28,25,46,,,,,,,,-0.0119,0.6543,-0.499,0.14,0.1338,-0.0114,99,,,99,0.7247153846153847,,,
1zk9A_3jv6A,Boltz2,99,32,19,48,,,,,,,,-0.0139,0.9301,-1.13,0.14,0.136,-0.0253,99,,,99,0.9821917808219178,,,
1zk9A_3jv6A,ESM,99,7,0,92,,,,,,,,0.0148,0.002,8.078,0.14,0.0794,0.2792,99,,no_F1F2_split,99,0.005733333333333334,,,
1zk9A_3jv6A,MSAT,99,1,0,98,,,,,,,,-0.0611,0.7083,-0.491,0.1578,0.0629,-0.0736,20,,no_F1F2_split,99,0.9630666666666667,,,
1zk9A_3jv6A,CCMpred,99,0,0,99,,,,,,,,,,,,,,20,zero_variance,no_F1F2_split,99,,,,
1zk9A_3jv6A,DDG,99,38,34,27,,,,,,,,0.0326,0.001,13.765,0.14,0.1287,0.3084,99,,,99,0.0019111111111111113,,,
1zk9A_3jv6A,S4PRED,99,21,10,68,,,,,,,,-0.0002,0.01,3.141,0.14,0.1329,0.0702,99,,,99,0.026875,,,
2bzyB_2lqwA,AF2,85,30,32,23,,,,,,,,0.0625,0.001,13.512,0.1968,0.18,0.3876,85,,,85,0.00781818181818182,,,
2bzyB_2lqwA,AF3,85,16,22,47,,,,,,,,0.033,0.001,8.217,0.1968,0.1692,0.2478,85,,,85,0.0061428571428571435,,,
2bzyB_2lqwA,Boltz2,85,10,21,54,,,,,,,,0.0166,0.001,5.648,0.1968,0.1512,0.1746,85,,,85,0.009375,,,
2bzyB_2lqwA,ESM,85,24,27,34,,,,,,,,0.1015,0.001,21.612,0.1968,0.1705,0.622,85,,,85,0.003739130434782609,,,
2bzyB_2lqwA,MSAT,85,1,0,84,,,,,,,,,,,,,,1,n<3,no_F1F2_split,85,,,,
2bzyB_2lqwA,CCMpred,85,0,0,85,,,,,,,,-0.388,0.5245,-0.946,0.0,-0.2421,-0.5988,4,,no_F1F2_split,85,0.7243095238095238,,,
