pair_id,n_clusters,n_methods_present,n_perm,observed_mean_concordance,perm_mean_concordance_p,observed_has_both_folds_centered,perm_has_both_folds_centered_p,observed_AF2_ESM,observed_AF2_ESM_n,perm_AF2_ESM_p,observed_AF2_MSAT,observed_AF2_MSAT_n,perm_AF2_MSAT_p,observed_AF2_CCMpred,observed_AF2_CCMpred_n,perm_AF2_CCMpred_p,observed_AF2_DDG,observed_AF2_DDG_n,perm_AF2_DDG_p,observed_ESM_MSAT,observed_ESM_MSAT_n,perm_ESM_MSAT_p,observed_ESM_CCMpred,observed_ESM_CCMpred_n,perm_ESM_CCMpred_p,observed_ESM_DDG,observed_ESM_DDG_n,perm_ESM_DDG_p,observed_MSAT_CCMpred,observed_MSAT_CCMpred_n,perm_MSAT_CCMpred_p,observed_MSAT_DDG,observed_MSAT_DDG_n,perm_MSAT_DDG_p,observed_CCMpred_DDG,observed_CCMpred_DDG_n,perm_CCMpred_DDG_p
2c1vB_2c1uC,18,7,1000,0.5333,0.208,True,1.0,0.7778,18,0.027,0.5556,18,0.514,0.6667,18,0.184,0.4444,18,0.804,0.5556,18,0.48,0.7778,18,0.037,0.3333,18,0.966,0.4444,18,0.821,0.3333,18,0.953,0.4444,18,0.829
2grmB_2axzA,0,0,1000,,,False,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
2h44A_1rkpA,20,7,1000,0.6444,0.133,True,1.0,1.0,1,0.491,0.0,1,1.0,,0,,1.0,1,0.492,0.3,20,0.988,1.0,2,0.261,0.5,20,0.656,0.5,2,0.724,0.5,20,0.675,1.0,2,0.264
2jmrA_4j3oF,20,7,1000,0.55,0.141,True,1.0,0.6,20,0.322,0.6,20,0.327,,0,,0.3,20,0.991,0.7,20,0.073,,0,,0.6,20,0.319,,0,,0.5,20,0.692,,0,
2k42A_1ceeB,20,7,1000,0.55,0.17,True,1.0,0.9,20,0.0,0.2,20,1.0,,0,,0.8,20,0.007,0.2,20,1.0,,0,,0.9,20,0.001,,0,,0.3,20,0.982,,0,
2kb8A_6vw2A,2,7,1000,0.3333,1.0,True,1.0,0.0,2,1.0,,0,,,0,,0.0,2,1.0,,0,,,0,,1.0,2,0.472,,0,,,0,,,0,
2kkwA_2n0aD,3,7,1000,0.6667,0.359,True,1.0,1.0,1,0.484,,0,,,0,,0.0,1,1.0,,0,,,0,,1.0,1,0.502,,0,,,0,,,0,
2lelA_2k0qA,1,7,1000,0.4,1.0,False,1.0,1.0,1,1.0,1.0,1,1.0,0.0,1,1.0,0.0,1,1.0,1.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,1.0,1,1.0
2lepA_4hddA,20,7,1000,0.49,0.533,True,1.0,0.5,20,0.668,0.5,20,0.683,1.0,1,0.509,0.1,20,1.0,0.6,20,0.333,0.0,1,1.0,0.6,20,0.348,1.0,1,0.502,0.6,20,0.333,0.0,1,1.0
2lv1A_6lniA,3,7,1000,0.3333,0.937,True,1.0,0.0,1,1.0,0.0,1,1.0,,0,,0.0,2,1.0,0.0,1,1.0,,0,,1.0,1,0.484,,0,,1.0,1,0.494,,0,
2mwfA_2nntA,21,7,1000,0.5346,0.172,True,1.0,0.6842,19,0.089,0.7778,9,0.061,0.625,16,0.206,0.4211,19,0.837,0.4,10,0.81,0.4375,16,0.764,0.5,20,0.512,0.5,8,0.439,0.5,10,0.598,0.5,16,0.568
2n54B_2hdmA,21,7,1000,0.7152,0.001,True,1.0,0.6316,19,0.181,0.6111,18,0.223,0.0,1,1.0,0.7895,19,0.013,0.6111,18,0.24,1.0,2,0.244,0.8421,19,0.001,1.0,2,0.243,0.6667,18,0.117,1.0,2,0.245
2namA_1uxmK,21,7,1000,0.6211,0.002,True,1.0,0.9474,19,0.0,0.5789,19,0.331,0.4211,19,0.783,0.7368,19,0.04,0.6316,19,0.188,0.4211,19,0.828,0.7895,19,0.011,0.4211,19,0.802,0.7895,19,0.015,0.4737,19,0.664
2p3vD_2p3vA,19,7,1000,0.4767,0.666,True,1.0,0.3529,17,0.918,0.4118,17,0.842,0.6,5,0.455,0.4706,17,0.68,0.5556,18,0.308,0.6,5,0.432,0.5882,17,0.319,0.4,5,0.838,0.5882,17,0.311,0.2,5,0.975
2pbkB_3njqA,1,7,1000,0.3333,1.0,False,1.0,0.0,1,1.0,1.0,1,1.0,,0,,0.0,1,1.0,0.0,1,1.0,,0,,1.0,1,1.0,,0,,0.0,1,1.0,,0,
2qqjA_4qdsA,18,7,1000,0.4778,0.703,True,1.0,0.3333,18,0.972,0.5556,18,0.5,0.5,6,0.674,0.5556,18,0.507,0.6667,18,0.171,0.3333,6,0.937,0.3333,18,0.971,0.3333,6,0.938,0.3333,18,0.971,0.8333,6,0.066
2uy7D_5fluE,21,7,1000,0.4928,0.538,True,1.0,0.6316,19,0.174,0.5455,11,0.449,,0,,0.5789,19,0.328,0.4545,11,0.711,,0,,0.4737,19,0.693,,0,,0.2727,11,0.959,,0,
2vfxL_3gmhL,20,7,1000,0.5056,0.392,True,1.0,0.6,20,0.322,0.5333,15,0.485,,0,,0.4,20,0.911,0.4667,15,0.685,,0,,0.7,20,0.082,,0,,0.3333,15,0.919,,0,
2wcdX_4phqA,1,7,1000,0.3333,1.0,False,1.0,1.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,,0,,1.0,1,1.0,,0,
2z9oB_1repC,16,6,1000,0.4583,0.841,True,1.0,0.625,16,0.316,0.5,16,0.69,,0,,0.375,16,0.934,0.375,16,0.934,,0,,0.625,16,0.302,,0,,0.25,16,0.993,,0,
3g0hA_3ewsB,18,7,1000,0.5485,0.321,True,1.0,1.0,1,0.507,0.0,1,1.0,,0,,1.0,1,0.51,0.3333,18,0.974,0.5714,7,0.512,0.5556,18,0.496,0.5714,7,0.504,0.3333,18,0.972,0.5714,7,0.486
3hdfA_3hdeA,21,7,1000,0.5224,0.258,True,1.0,0.6316,19,0.179,0.4,20,0.818,0.6667,15,0.154,0.4211,19,0.813,0.3158,19,0.959,0.4,15,0.82,0.2632,19,0.99,0.5333,15,0.48,0.8421,19,0.004,0.75,16,0.023
3j7vG_3j7wB,6,7,1000,0.6528,0.12,True,1.0,0.75,4,0.309,0.3333,3,0.831,,0,,0.6667,3,0.428,0.5,4,0.694,,0,,1.0,4,0.095,,0,,0.6667,3,0.437,,0,
3kdsG_2ce7C,19,7,1000,0.5773,0.053,True,1.0,0.5294,17,0.485,0.3529,17,0.931,0.7143,7,0.121,0.5294,17,0.493,0.5294,17,0.508,0.6667,6,0.19,0.6471,17,0.184,0.6667,6,0.216,0.4706,17,0.663,0.6667,6,0.206
3l5nB_2a73B,14,7,1000,0.7894,0.041,True,1.0,1.0,1,0.49,1.0,1,0.489,,0,,1.0,1,0.499,0.5385,13,0.516,,0,,0.4286,14,0.875,,0,,0.7692,13,0.055,,0,
3l9qB_4rr2D,14,7,1000,0.4908,0.491,True,1.0,0.6923,13,0.158,0.5,2,0.722,,0,,0.5385,13,0.523,0.0,2,1.0,,0,,0.7143,14,0.139,,0,,0.5,2,0.74,,0,
3lowA_3m1bF,20,7,1000,0.67,0.073,True,1.0,0.7,20,0.095,0.7,20,0.102,1.0,1,0.514,0.6,20,0.345,0.6,20,0.309,0.0,1,1.0,0.5,20,0.653,1.0,1,0.486,0.6,20,0.307,1.0,1,0.492
3lqcA_1xntA,16,7,1000,0.6556,0.034,True,1.0,0.9,10,0.011,0.4,5,0.716,,0,,0.6667,9,0.261,0.5,6,0.655,,0,,0.8,10,0.049,,0,,0.6667,6,0.287,,0,
3m7pA_3ejhA,7,6,1000,0.4167,0.692,True,1.0,1.0,5,0.057,0.5,2,0.646,,0,,0.0,5,1.0,0.5,2,0.655,,0,,0.0,6,1.0,,0,,0.5,2,0.657,,0,
3meeA_4b3oB,10,7,1000,0.4167,0.744,True,1.0,1.0,2,0.269,0.0,2,1.0,,0,,0.5,2,0.714,0.2,10,0.997,,0,,0.2,10,0.999,,0,,0.6,10,0.494,,0,
3mkoA_5ineA,1,7,1000,0.3333,1.0,False,1.0,0.0,1,1.0,1.0,1,1.0,,0,,0.0,1,1.0,0.0,1,1.0,,0,,1.0,1,1.0,,0,,0.0,1,1.0,,0,
3r9jC_2kxoA,20,7,1000,0.5271,0.423,True,1.0,0.5,20,0.684,0.4286,7,0.784,0.0,1,1.0,0.6,20,0.348,0.5714,7,0.514,0.0,1,1.0,0.6,20,0.337,1.0,1,0.305,0.5714,7,0.524,1.0,1,0.499
3t5oA_4a5wB,2,7,1000,0.3333,1.0,True,1.0,0.0,2,1.0,0.0,2,1.0,,0,,1.0,2,0.51,1.0,2,0.515,,0,,0.0,2,1.0,,0,,0.0,2,1.0,,0,
3v0tA_3uyiA,20,7,1000,0.49,0.647,True,1.0,0.5,20,0.676,0.5,20,0.676,0.4,20,0.906,0.3,20,0.987,0.6,20,0.331,0.4,20,0.922,0.5,20,0.653,0.4,20,0.911,0.5,20,0.672,0.8,20,0.01
3ztjE_5hmgA,6,7,1000,0.8056,0.06,True,1.0,1.0,4,0.12,,0,,,0,,0.6667,3,0.423,,0,,,0,,0.75,4,0.286,,0,,,0,,,0,
3zxgB_5ec5P,0,0,1000,,,False,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
4aalA_4aanA,19,7,1000,0.5195,0.316,True,1.0,0.6471,17,0.189,0.4706,17,0.676,0.5,12,0.569,0.6471,17,0.148,0.5882,17,0.32,0.5,12,0.577,0.4706,17,0.663,0.6154,13,0.23,0.2941,17,0.971,0.4615,13,0.642
4cmqB_4zt0C,7,7,1000,0.35,0.829,True,1.0,1.0,1,0.415,0.0,1,0.721,,0,,0.0,1,0.842,0.5,4,0.623,,0,,0.2,5,0.949,,0,,0.4,5,0.695,,0,
4dxrA_4dxtA,20,7,1000,0.6271,0.009,True,1.0,0.4,20,0.911,0.6875,16,0.101,,0,,0.5,20,0.669,0.5625,16,0.403,,0,,0.8,20,0.008,,0,,0.8125,16,0.013,,0,
4g0dZ_4fu4C,0,0,1000,,,False,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
4gqcB_4gqcC,21,7,1000,0.4592,0.861,True,1.0,0.4737,19,0.696,0.4737,19,0.653,0.4118,17,0.843,0.4211,19,0.798,0.4,20,0.818,0.7647,17,0.022,0.4737,19,0.666,0.1765,17,0.999,0.5263,19,0.48,0.4706,17,0.667
4h2aA_3j9cA,3,7,1000,0.5,0.609,True,1.0,1.0,2,0.514,1.0,1,0.498,,0,,0.0,1,1.0,1.0,1,0.49,,0,,0.0,1,1.0,,0,,0.0,2,1.0,,0,
4n9wA_4nc9C,17,7,1000,0.54,0.304,True,1.0,0.5,2,0.748,1.0,2,0.253,0.0,1,0.212,1.0,2,0.271,0.4667,15,0.701,1.0,2,0.266,0.5333,15,0.478,0.0,2,1.0,0.4,15,0.833,0.5,2,0.744
4o01D_4o0pA,16,7,1000,0.7351,0.023,True,1.0,1.0,2,0.233,1.0,1,0.282,,0,,1.0,2,0.25,0.5714,14,0.401,,0,,0.625,16,0.322,,0,,0.2143,14,0.987,,0,
4ow6B_4ae0A,0,0,1000,,,False,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
4pyjA_4pyiA,19,7,1000,0.523,0.28,True,1.0,0.8235,17,0.007,0.4118,17,0.831,0.8889,9,0.001,0.3529,17,0.916,0.4706,17,0.684,0.875,8,0.003,0.3529,17,0.925,0.25,8,0.979,0.4706,17,0.684,0.3333,9,0.952
4q79F_4uv2D,19,7,1000,0.4706,0.727,True,1.0,0.3529,17,0.937,0.6471,17,0.195,,0,,0.4118,17,0.813,0.4118,17,0.824,,0,,0.4118,17,0.823,,0,,0.5882,17,0.313,,0,
4qhhA_4qhfA,10,7,1000,0.5778,0.205,True,1.0,1.0,10,0.005,0.6667,3,0.485,,0,,0.4,10,0.884,0.6667,3,0.476,,0,,0.4,10,0.897,,0,,0.3333,3,0.864,,0,
4rmbB_4rmbA,0,0,1000,,,False,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
4rwqB_4rwnA,11,7,1000,0.4782,0.573,True,1.0,0.5556,9,0.513,0.75,8,0.082,,0,,0.4444,9,0.727,0.5,8,0.525,,0,,0.3333,9,0.902,,0,,0.2857,7,0.908,,0,
4tsyD_3zwgN,1,7,1000,0.3333,1.0,False,1.0,1.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,,0,,1.0,1,1.0,,0,
4xwsD_4y0mJ,20,7,1000,0.4756,0.627,True,1.0,0.5556,18,0.408,0.2778,18,0.985,0.0,3,1.0,0.5556,18,0.411,0.7,20,0.102,0.3333,3,0.89,0.6,20,0.32,0.6667,3,0.495,0.4,20,0.909,0.6667,3,0.479
4ydqB_4twaA,17,7,1000,0.4442,0.691,True,1.0,1.0,1,0.46,0.0,1,0.942,1.0,1,0.117,0.0,1,0.927,0.5333,15,0.504,0.3333,3,0.841,0.375,16,0.844,0.0,3,1.0,0.5333,15,0.511,0.6667,3,0.472
4yhdG_7ahlE,2,7,1000,0.5,0.622,True,1.0,1.0,2,0.496,0.0,2,1.0,,0,,1.0,2,0.476,0.0,2,1.0,,0,,1.0,2,0.484,,0,,0.0,2,1.0,,0,
4zrbH_4zrbC,21,7,1000,0.4825,0.614,True,1.0,0.4737,19,0.679,0.2632,19,0.987,,0,,0.6316,19,0.187,0.4737,19,0.692,,0,,0.4737,19,0.649,,0,,0.5789,19,0.329,,0,
5bmyA_5b3zA,16,7,1000,0.3333,0.897,True,1.0,0.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,0.625,16,0.302,,0,,0.625,16,0.324,,0,,0.75,16,0.069,,0,
5c1vB_5c1vA,18,7,1000,0.5508,0.126,True,1.0,0.5556,18,0.518,0.3333,18,0.978,0.4286,7,0.836,0.6667,18,0.164,0.5556,18,0.473,0.5714,7,0.484,0.5556,18,0.509,0.5714,7,0.501,0.5556,18,0.485,0.7143,7,0.175
5c3iF_3kuyA,0,0,1000,,,False,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
5et5A_3ifaA,20,7,1000,0.5033,0.451,True,1.0,0.4,20,0.897,0.3,20,0.99,0.6667,6,0.291,0.5,20,0.677,0.5,20,0.679,0.3333,6,0.933,0.5,20,0.676,0.5,6,0.675,0.5,20,0.672,0.8333,6,0.076
5f5rB_5f3kA,19,6,1000,0.5261,0.308,True,1.0,0.7647,17,0.023,0.3529,17,0.928,,0,,0.5882,17,0.325,0.3333,18,0.933,,0,,0.6471,17,0.178,,0,,0.4706,17,0.657,,0,
5hk5H_4jphB,15,6,1000,0.5871,0.136,True,1.0,0.7273,11,0.108,0.6,5,0.504,,0,,0.5,12,0.713,0.75,4,0.239,,0,,0.5455,11,0.5,,0,,0.4,5,0.808,,0,
5i2sA_5i2mA,1,6,1000,1.0,1.0,False,1.0,1.0,1,1.0,1.0,1,1.0,,0,,1.0,1,1.0,1.0,1,1.0,,0,,1.0,1,1.0,,0,,1.0,1,1.0,,0,
5jytA_2qkeE,22,6,1000,0.4697,0.78,True,1.0,0.3636,22,0.957,0.4545,22,0.815,,0,,0.2727,22,0.993,0.5455,22,0.483,,0,,0.7273,22,0.068,,0,,0.4545,22,0.81,,0,
5jztG_5jzhA,1,6,1000,0.3333,1.0,False,1.0,1.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,,0,,1.0,1,1.0,,0,
5l35G_5l35D,1,6,1000,0.3333,1.0,False,1.0,1.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,0.0,1,1.0,,0,,0.0,1,1.0,,0,,1.0,1,1.0,,0,
5lj3M_3tp2A,6,5,1000,0.5,0.471,True,1.0,0.3333,6,0.949,0.3333,6,0.936,,0,,0.6667,6,0.493,1.0,6,0.054,,0,,0.3333,6,0.938,,0,,0.3333,6,0.954,,0,
5ly6B_5aoeB,4,6,1000,0.5,0.577,True,1.0,1.0,1,0.496,0.0,1,1.0,,0,,0.0,1,1.0,0.5,4,0.831,,0,,0.5,4,0.827,,0,,1.0,4,0.147,,0,
5tpnA_1g2cF,0,0,1000,,,False,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
5wrgC_1wyyB,2,6,1000,0.5,0.648,True,1.0,0.0,2,1.0,1.0,2,0.505,,0,,1.0,2,0.47,0.0,2,1.0,,0,,0.0,2,1.0,,0,,1.0,2,0.523,,0,
6c6sD_2ougC,19,6,1000,0.5441,0.301,True,1.0,0.4706,17,0.685,0.2353,17,0.99,1.0,2,0.275,0.7647,17,0.03,0.5294,17,0.472,0.5,2,0.741,0.6471,17,0.192,0.0,2,1.0,0.2941,17,0.968,1.0,2,0.27
7kdtB_6z4uA,0,0,1000,,,False,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
