pair_id,n_clusters,n_methods_present,n_perm,observed_mean_concordance,perm_mean_concordance_p,observed_has_both_folds_centered,perm_has_both_folds_centered_p,observed_AF2_ESM,observed_AF2_ESM_n,perm_AF2_ESM_p,observed_AF2_MSAT,observed_AF2_MSAT_n,perm_AF2_MSAT_p,observed_AF2_CCMpred,observed_AF2_CCMpred_n,perm_AF2_CCMpred_p,observed_AF2_DDG,observed_AF2_DDG_n,perm_AF2_DDG_p,observed_ESM_MSAT,observed_ESM_MSAT_n,perm_ESM_MSAT_p,observed_ESM_CCMpred,observed_ESM_CCMpred_n,perm_ESM_CCMpred_p,observed_ESM_DDG,observed_ESM_DDG_n,perm_ESM_DDG_p,observed_MSAT_CCMpred,observed_MSAT_CCMpred_n,perm_MSAT_CCMpred_p,observed_MSAT_DDG,observed_MSAT_DDG_n,perm_MSAT_DDG_p,observed_CCMpred_DDG,observed_CCMpred_DDG_n,perm_CCMpred_DDG_p,p_bh
1rk4B_1k0nA,100,8,1000,0.5933,0.041,True,1.0,0.52,100,0.42,0.75,8,0.165,,0,,0.44,100,0.918,0.75,8,0.134,,0,,0.6,100,0.023,,0,,0.5,8,0.648,,0,,0.3315
2mwfA_2nntA,100,8,1000,0.5607,0.05,True,1.0,0.8,100,0.0,0.5,10,0.651,0.5882,17,0.316,0.54,100,0.269,0.4,10,0.828,0.4706,17,0.704,0.52,100,0.424,0.5,8,0.441,0.7,10,0.177,0.5882,17,0.321,0.3315
4rwqB_4rwnA,96,8,1000,0.5868,0.051,True,1.0,0.5625,96,0.125,0.375,8,0.844,,0,,0.5208,96,0.433,0.5,8,0.643,,0,,0.6875,96,0.0,,0,,0.875,8,0.036,,0,,0.3315
1nocA_1qomB,100,8,1000,0.5621,0.051,True,1.0,0.5155,97,0.405,0.8889,18,0.0,,0,,0.54,100,0.281,0.4375,16,0.719,,0,,0.5464,97,0.223,,0,,0.4444,18,0.744,,0,,0.3315
2wcdX_4phqA,10,8,1000,0.8,0.058,True,1.0,0.8,10,0.103,1.0,1,0.505,,0,,0.6,10,0.501,1.0,1,0.505,,0,,0.4,10,0.917,,0,,1.0,1,0.493,,0,,0.3518666666666667
5jztG_5jzhA,17,8,1000,0.7659,0.073,True,1.0,0.3571,14,0.908,1.0,1,0.487,,0,,0.5714,14,0.395,1.0,1,0.503,,0,,0.6667,15,0.131,,0,,1.0,1,0.473,,0,,0.4151875
3lqcA_1xntA,87,8,1000,0.5901,0.078,True,1.0,0.5357,84,0.303,0.8333,6,0.091,,0,,0.4167,84,0.945,0.6667,6,0.339,,0,,0.5882,85,0.076,,0,,0.5,6,0.652,,0,,0.41752941176470587
4aalA_4aanA,100,8,1000,0.5493,0.107,True,1.0,0.5204,98,0.376,0.4118,17,0.809,0.5833,12,0.316,0.4898,98,0.578,0.4444,18,0.766,0.6923,13,0.125,0.62,100,0.014,0.6154,13,0.23,0.5,18,0.612,0.6154,13,0.303,0.5409444444444444
1nrjB_2gedB,100,8,1000,0.5561,0.113,True,1.0,0.54,100,0.276,0.5455,11,0.474,,0,,0.62,100,0.008,0.7273,11,0.129,,0,,0.54,100,0.26,,0,,0.3636,11,0.888,,0,,0.5412105263157895
2vfxL_3gmhL,100,8,1000,0.5456,0.132,True,1.0,0.46,100,0.834,0.4667,15,0.702,,0,,0.46,100,0.848,0.6667,15,0.154,,0,,0.62,100,0.01,,0,,0.6,15,0.326,,0,,0.6006
2uy7D_5fluE,100,8,1000,0.5456,0.148,True,1.0,0.42,100,0.958,0.5,12,0.605,,0,,0.54,100,0.254,0.6667,12,0.194,,0,,0.48,100,0.726,,0,,0.6667,12,0.197,,0,,0.6142500000000001
2lv1A_6lniA,26,8,1000,0.6154,0.153,True,1.0,0.5385,26,0.524,1.0,2,0.268,,0,,0.5385,26,0.475,0.5,2,0.76,,0,,0.6154,26,0.194,,0,,0.5,2,0.725,,0,,0.6142500000000001
3v0tA_3uyiA,100,8,1000,0.531,0.159,True,1.0,0.4848,99,0.681,0.55,20,0.379,0.55,20,0.43,0.5,100,0.57,0.45,20,0.741,0.85,20,0.002,0.5253,99,0.34,0.4,20,0.911,0.25,20,0.995,0.75,20,0.018,0.6142500000000001
2kkwA_2n0aD,32,8,1000,0.5625,0.162,True,1.0,0.5625,32,0.379,,0,,,0,,0.5,32,0.614,,0,,,0,,0.625,32,0.151,,0,,,0,,,0,,0.6142500000000001
1x0gD_1x0gA,100,8,1000,0.5309,0.205,True,1.0,0.68,100,0.001,0.5,20,0.573,0.4444,9,0.756,0.5,100,0.568,0.65,20,0.121,0.4444,9,0.735,0.56,100,0.16,0.375,8,0.79,0.6,20,0.256,0.5556,9,0.487,0.7174999999999999
1miqB_1qs8B,100,8,1000,0.5501,0.205,True,1.0,0.48,100,0.72,0.4286,14,0.793,0.3333,3,0.87,0.52,100,0.406,0.3571,14,0.908,0.6667,3,0.477,0.62,100,0.012,1.0,3,0.123,0.4286,14,0.778,0.6667,3,0.494,0.7174999999999999
4q79F_4uv2D,100,8,1000,0.5261,0.215,True,1.0,0.4444,99,0.891,0.7778,18,0.012,,0,,0.5657,99,0.099,0.3889,18,0.873,,0,,0.48,100,0.729,,0,,0.5,18,0.598,,0,,0.7246296296296296
4rmbB_4rmbA,2,6,1000,1.0,0.237,True,1.0,1.0,2,0.512,,0,,,0,,1.0,2,0.489,,0,,,0,,1.0,2,0.473,,0,,,0,,,0,,0.7531034482758621
3l9qB_4rr2D,99,8,1000,0.579,0.24,True,1.0,0.4845,97,0.643,0.5,2,0.758,,0,,0.4536,97,0.847,1.0,2,0.269,,0,,0.5361,97,0.263,,0,,0.5,2,0.729,,0,,0.7531034482758621
2h44A_1rkpA,100,8,1000,0.547,0.257,True,1.0,0.54,100,0.274,0.4,20,0.887,1.0,2,0.266,0.6,100,0.039,0.45,20,0.74,0.5,2,0.755,0.48,100,0.732,0.5,2,0.715,0.5,20,0.595,0.5,2,0.751,0.7632258064516129
5c1vB_5c1vA,100,8,1000,0.5273,0.26,True,1.0,0.5152,99,0.442,0.4444,18,0.778,0.7143,7,0.238,0.44,100,0.926,0.5,18,0.592,0.4286,7,0.768,0.4444,99,0.894,0.5714,7,0.486,0.5,18,0.594,0.7143,7,0.197,0.7632258064516129
5f5rB_5f3kA,100,8,1000,0.5196,0.288,True,1.0,0.4,100,0.987,0.5556,18,0.413,,0,,0.4,100,0.981,0.6111,18,0.216,,0,,0.54,100,0.287,,0,,0.6111,18,0.247,,0,,0.819
1zk9A_3jv6A,99,8,1000,0.5171,0.301,True,1.0,0.5361,97,0.267,0.5263,19,0.407,,0,,0.5361,97,0.273,0.45,20,0.729,,0,,0.8041,97,0.0,,0,,0.25,20,0.993,,0,,0.830030303030303
5lj3M_3tp2A,100,7,1000,0.533,0.317,True,1.0,0.602,98,0.032,0.3333,6,0.87,,0,,0.6224,98,0.009,0.5,6,0.67,,0,,0.64,100,0.006,,0,,0.5,6,0.673,,0,,0.84175
1nqjB_1nqdA,100,8,1000,0.5186,0.329,True,1.0,0.46,100,0.848,0.4286,14,0.783,,0,,0.54,100,0.279,0.5714,14,0.386,,0,,0.54,100,0.283,,0,,0.5714,14,0.397,,0,,0.84175
5bmyA_5b3zA,100,8,1000,0.5188,0.333,True,1.0,0.5773,97,0.071,0.375,16,0.883,,0,,0.5,98,0.544,0.5625,16,0.411,,0,,0.5354,99,0.277,,0,,0.5625,16,0.392,,0,,0.84175
4zrbH_4zrbC,100,8,1000,0.5133,0.357,True,1.0,0.68,100,0.0,0.4,20,0.863,,0,,0.52,100,0.382,0.55,20,0.42,,0,,0.48,100,0.725,,0,,0.45,20,0.766,,0,,0.8563333333333333
4h2aA_3j9cA,60,8,1000,0.5222,0.358,True,1.0,0.5333,60,0.396,0.5,2,0.719,,0,,0.4667,60,0.775,1.0,2,0.261,,0,,0.6333,60,0.04,,0,,0.0,2,1.0,,0,,0.8563333333333333
5tpnA_1g2cF,4,7,1000,0.6667,0.367,True,1.0,0.5,4,0.826,,0,,,0,,1.0,4,0.168,,0,,,0,,0.5,4,0.835,,0,,,0,,,0,,0.8563333333333333
3hdfA_3hdeA,100,8,1000,0.5051,0.403,True,1.0,0.4,100,0.985,0.5,20,0.581,0.4375,16,0.744,0.58,100,0.083,0.5,20,0.583,0.5625,16,0.375,0.5,100,0.614,0.5333,15,0.448,0.6,20,0.264,0.4375,16,0.772,0.916825
2qqjA_4qdsA,99,8,1000,0.5089,0.426,True,1.0,0.4742,97,0.705,0.3333,18,0.955,0.5,6,0.66,0.567,97,0.11,0.5882,17,0.252,0.4,5,0.671,0.4479,96,0.892,0.3333,6,0.938,0.4444,18,0.737,1.0,6,0.019,0.9455121951219512
2c1vB_2c1uC,100,8,1000,0.5024,0.465,True,1.0,0.5,100,0.567,0.5556,18,0.417,0.4444,18,0.75,0.48,100,0.747,0.6667,18,0.107,0.4444,18,0.755,0.6,100,0.038,0.4444,18,0.807,0.5,18,0.604,0.3889,18,0.889,0.9979152542372882
1mnmD_1mnmC,100,7,1000,0.475,0.5,True,1.0,0.7,100,0.0,0.3333,12,0.917,1.0,3,0.105,0.46,100,0.83,0.4167,12,0.79,1.0,3,0.13,0.34,100,1.0,0.0,2,0.952,0.5,12,0.59,0.0,3,1.0,0.9979152542372882
4yhdG_7ahlE,15,8,1000,0.4936,0.513,True,1.0,0.4167,12,0.798,0.5,2,0.705,,0,,0.4615,13,0.707,0.0,1,0.992,,0,,0.5833,12,0.396,,0,,1.0,2,0.302,,0,,0.9979152542372882
4pyjA_4pyiA,100,8,1000,0.4937,0.551,True,1.0,0.54,100,0.27,0.5556,18,0.434,0.4444,9,0.754,0.56,100,0.147,0.6111,18,0.244,0.3333,9,0.902,0.42,100,0.964,0.25,8,0.977,0.4444,18,0.755,0.7778,9,0.074,0.9979152542372882
3m7pA_3ejhA,100,8,1000,0.4933,0.558,True,1.0,0.58,100,0.085,0.0,2,1.0,,0,,0.48,100,0.726,0.5,2,0.753,,0,,0.4,100,0.982,,0,,1.0,2,0.26,,0,,0.9979152542372882
3r9jC_2kxoA,100,8,1000,0.4926,0.562,True,1.0,0.54,100,0.281,0.4286,7,0.761,0.0,1,1.0,0.44,100,0.914,0.7143,7,0.209,1.0,1,0.502,0.66,100,0.001,1.0,1,0.332,0.1429,7,0.99,0.0,1,1.0,0.9979152542372882
3g0hA_3ewsB,100,8,1000,0.4926,0.564,True,1.0,0.5876,97,0.057,0.3889,18,0.861,0.2857,7,0.919,0.4747,99,0.714,0.3333,18,0.941,0.2857,7,0.929,0.5306,98,0.307,0.5714,7,0.477,0.6111,18,0.242,0.8571,7,0.071,0.9979152542372882
3mkoA_5ineA,14,8,1000,0.4524,0.578,True,1.0,0.4286,14,0.834,0.0,1,1.0,,0,,0.4286,14,0.821,1.0,1,0.508,,0,,0.8571,14,0.016,,0,,0.0,1,1.0,,0,,0.9979152542372882
5wrgC_1wyyB,35,8,1000,0.4874,0.582,True,1.0,0.4545,33,0.731,0.5,2,0.737,,0,,0.3939,33,0.917,0.0,2,1.0,,0,,0.5758,33,0.251,,0,,1.0,2,0.276,,0,,0.9979152542372882
1xjuB_1xjtA,100,8,1000,0.49,0.589,True,1.0,0.56,100,0.154,0.5,14,0.608,,0,,0.38,100,1.0,0.4286,14,0.782,,0,,0.5,100,0.57,,0,,0.5714,14,0.392,,0,,0.9979152542372882
4o01D_4o0pA,100,8,1000,0.491,0.595,True,1.0,0.58,100,0.088,0.4286,14,0.784,,0,,0.54,100,0.279,0.7143,14,0.084,,0,,0.54,100,0.294,,0,,0.1429,14,0.999,,0,,0.9979152542372882
1qb3A_3qy2A,100,8,1000,0.4881,0.596,True,1.0,0.58,100,0.087,0.4286,7,0.779,,0,,0.5,100,0.559,0.4286,7,0.774,,0,,0.42,100,0.968,,0,,0.5714,7,0.508,,0,,0.9979152542372882
4xwsD_4y0mJ,100,8,1000,0.482,0.602,True,1.0,0.5,100,0.576,0.45,20,0.745,0.3333,3,0.889,0.54,100,0.291,0.4,20,0.874,0.3333,3,0.869,0.48,100,0.751,0.6667,3,0.51,0.45,20,0.76,0.6667,3,0.477,0.9979152542372882
3meeA_4b3oB,100,8,1000,0.4812,0.626,True,1.0,0.4082,98,0.972,0.6,10,0.331,,0,,0.4388,98,0.909,0.6,10,0.356,,0,,0.44,100,0.921,,0,,0.4,10,0.829,,0,,0.9979152542372882
1wp8C_5ejbC,15,8,1000,0.4231,0.627,True,1.0,0.5385,13,0.469,0.0,1,0.92,,0,,0.6154,13,0.285,1.0,1,0.471,,0,,0.3846,13,0.849,,0,,0.0,1,0.942,,0,,0.9979152542372882
5hk5H_4jphB,93,8,1000,0.4796,0.635,True,1.0,0.4505,91,0.857,0.75,4,0.21,,0,,0.5165,91,0.421,0.2,5,0.963,,0,,0.5604,91,0.143,,0,,0.4,5,0.805,,0,,0.9979152542372882
1qlnA_1h38D,100,8,1000,0.48,0.639,True,1.0,0.52,100,0.412,0.4,10,0.826,,0,,0.44,100,0.922,0.6,10,0.347,,0,,0.52,100,0.439,,0,,0.4,10,0.83,,0,,0.9979152542372882
2jmrA_4j3oF,100,8,1000,0.485,0.647,True,1.0,0.5,100,0.592,0.4,20,0.867,,0,,0.58,100,0.079,0.4,20,0.872,,0,,0.48,100,0.719,,0,,0.55,20,0.426,,0,,0.9979152542372882
4tsyD_3zwgN,34,8,1000,0.4118,0.688,True,1.0,0.4118,34,0.921,0.0,1,1.0,,0,,0.5882,34,0.241,0.0,1,1.0,,0,,0.4706,34,0.747,,0,,1.0,1,0.499,,0,,1.0
1iytA_2naoF,12,8,1000,0.4167,0.702,True,1.0,0.5,12,0.719,0.0,1,1.0,,0,,0.5,12,0.715,1.0,1,0.507,,0,,0.5,12,0.75,,0,,0.0,1,1.0,,0,,1.0
1xezA_3o44A,7,8,1000,0.4,0.728,True,1.0,0.4,5,0.766,1.0,1,0.454,,0,,0.2,5,0.958,,0,,,0,,0.4,5,0.774,,0,,0.0,1,0.872,,0,,1.0
4gqcB_4gqcC,100,8,1000,0.4792,0.741,True,1.0,0.4,100,0.979,0.55,20,0.432,0.5,18,0.565,0.54,100,0.263,0.65,20,0.125,0.4444,18,0.777,0.52,100,0.417,0.1765,17,0.998,0.4,20,0.871,0.6111,18,0.24,1.0
2kb8A_6vw2A,20,8,1000,0.4667,0.768,True,1.0,0.8,20,0.01,,0,,,0,,0.2,20,1.0,,0,,,0,,0.4,20,0.901,,0,,,0,,,0,,1.0
2z9oB_1repC,100,7,1000,0.4662,0.788,True,1.0,0.56,100,0.159,0.3125,16,0.963,,0,,0.42,100,0.967,0.5,16,0.602,,0,,0.38,100,0.993,,0,,0.625,16,0.221,,0,,1.0
3lowA_3m1bF,100,8,1000,0.408,0.802,True,1.0,0.66,100,0.004,0.3,20,0.979,0.0,1,1.0,0.58,100,0.099,0.4,20,0.845,0.0,1,1.0,0.64,100,0.006,1.0,1,0.495,0.5,20,0.629,0.0,1,1.0,1.0
3t5oA_4a5wB,50,8,1000,0.4065,0.804,True,1.0,0.449,49,0.81,0.5,2,0.752,,0,,0.48,50,0.721,0.5,2,0.751,,0,,0.5102,49,0.485,,0,,0.0,2,1.0,,0,,1.0
3kdsG_2ce7C,100,8,1000,0.4564,0.816,True,1.0,0.44,100,0.925,0.6667,18,0.111,0.7143,7,0.219,0.52,100,0.411,0.4444,18,0.768,0.1429,7,0.993,0.58,100,0.076,0.6667,6,0.227,0.3889,18,0.847,0.0,7,1.0,1.0
2p3vD_2p3vA,100,8,1000,0.4564,0.817,True,1.0,0.64,100,0.004,0.4444,18,0.755,0.6,5,0.493,0.52,100,0.456,0.5556,18,0.403,0.0,5,1.0,0.56,100,0.172,0.4,5,0.835,0.4444,18,0.775,0.4,5,0.821,1.0
5l35G_5l35D,13,8,1000,0.3636,0.836,True,1.0,0.4545,11,0.713,0.0,1,0.914,,0,,0.2727,11,0.952,1.0,1,0.47,,0,,0.4545,11,0.711,,0,,0.0,1,0.923,,0,,1.0
3ztjE_5hmgA,47,8,1000,0.4593,0.84,True,1.0,0.4,45,0.934,,0,,,0,,0.4889,45,0.602,,0,,,0,,0.4889,45,0.613,,0,,,0,,,0,,1.0
2pbkB_3njqA,16,8,1000,0.375,0.846,True,1.0,0.375,16,0.927,1.0,1,0.481,,0,,0.375,16,0.926,0.0,1,1.0,,0,,0.5,16,0.687,,0,,0.0,1,1.0,,0,,1.0
3zxgB_5ec5P,5,6,1000,0.3333,0.891,True,1.0,0.0,3,1.0,,0,,,0,,0.3333,3,0.83,,0,,,0,,0.6667,3,0.415,,0,,,0,,,0,,1.0
4n9wA_4nc9C,100,8,1000,0.4025,0.902,True,1.0,0.4,100,0.989,0.5,16,0.601,0.0,2,1.0,0.48,100,0.705,0.6875,16,0.106,0.5,2,0.733,0.52,100,0.448,0.0,2,1.0,0.4375,16,0.785,0.5,2,0.751,1.0
5ly6B_5aoeB,57,8,1000,0.3995,0.904,True,1.0,0.5273,55,0.38,0.3333,3,0.716,,0,,0.6,55,0.093,0.0,4,1.0,,0,,0.4364,55,0.845,,0,,0.5,4,0.662,,0,,1.0
1jfkA_2nxqB,100,8,1000,0.4512,0.91,True,1.0,0.44,100,0.926,0.55,20,0.404,0.5,10,0.654,0.38,100,0.997,0.45,20,0.765,0.6,10,0.38,0.62,100,0.009,0.2222,9,0.954,0.35,20,0.945,0.4,10,0.85,1.0
6c6sD_2ougC,100,7,1000,0.3973,0.919,True,1.0,0.56,100,0.167,0.5556,18,0.406,0.5,2,0.767,0.52,100,0.412,0.4444,18,0.76,0.0,2,1.0,0.56,100,0.134,0.0,2,1.0,0.3333,18,0.949,0.5,2,0.748,1.0
1dzlA_5keqF,49,8,1000,0.4389,0.923,True,1.0,0.3478,46,0.983,,0,,,0,,0.5435,46,0.319,,0,,,0,,0.4255,47,0.874,,0,,,0,,,0,,1.0
4qhhA_4qhfA,85,8,1000,0.3721,0.937,True,1.0,0.3659,82,0.997,0.6667,3,0.477,,0,,0.5904,83,0.062,0.0,3,1.0,,0,,0.6098,82,0.025,,0,,0.0,3,1.0,,0,,1.0
3l5nB_2a73B,100,8,1000,0.4385,0.941,True,1.0,0.56,100,0.138,0.2308,13,0.985,,0,,0.5,100,0.59,0.3846,13,0.889,,0,,0.34,100,1.0,,0,,0.6154,13,0.281,,0,,1.0
1kctA_3t1pA,100,8,1000,0.417,0.942,True,1.0,0.42,100,0.956,0.45,20,0.75,0.25,4,0.937,0.56,100,0.163,0.35,20,0.947,0.75,4,0.299,0.44,100,0.912,0.25,4,0.922,0.45,20,0.778,0.25,4,0.939,1.0
4ydqB_4twaA,100,8,1000,0.4014,0.942,True,1.0,0.4184,98,0.952,0.5625,16,0.361,0.3333,3,0.868,0.5306,98,0.324,0.6875,16,0.113,0.3333,3,0.865,0.44,100,0.906,0.0,3,1.0,0.375,16,0.893,0.3333,3,0.884,1.0
1fzpD_2frhA,90,7,1000,0.363,0.946,True,1.0,0.4889,90,0.665,0.0,3,1.0,,0,,0.5556,90,0.207,0.3333,3,0.881,,0,,0.4667,90,0.784,,0,,0.3333,3,0.89,,0,,1.0
2bzyB_2lqwA,85,8,1000,0.2741,0.968,True,1.0,0.3253,83,0.998,0.0,1,0.988,,0,,0.3373,83,0.998,1.0,1,0.491,0.0,1,0.985,0.5301,83,0.34,,0,,0.0,1,0.988,0.0,1,0.991,1.0
1svfC_4wsgC,4,8,1000,0.3333,0.969,True,1.0,1.0,4,0.161,0.0,1,1.0,,0,,0.0,4,1.0,0.0,1,1.0,,0,,0.0,4,1.0,,0,,1.0,1,0.507,,0,,1.0
5i2sA_5i2mA,6,8,1000,0.2778,0.976,True,1.0,1.0,6,0.052,0.0,1,1.0,,0,,0.3333,6,0.947,0.0,1,1.0,,0,,0.3333,6,0.941,,0,,0.0,1,1.0,,0,,1.0
3j7vG_3j7wB,63,8,1000,0.3406,0.983,True,1.0,0.45,60,0.801,0.25,4,0.921,,0,,0.4667,60,0.734,0.0,4,1.0,,0,,0.377,61,0.979,,0,,0.5,4,0.649,,0,,1.0
4ow6B_4ae0A,1,6,1000,1.0,1.0,False,1.0,1.0,1,1.0,,0,,,0,,1.0,1,1.0,,0,,,0,,1.0,1,1.0,,0,,,0,,,0,,1.0
4g0dZ_4fu4C,1,6,1000,0.3333,1.0,False,1.0,1.0,1,1.0,,0,,,0,,0.0,1,1.0,,0,,,0,,0.0,1,1.0,,0,,,0,,,0,,1.0
2grmB_2axzA,2,6,1000,0.3333,1.0,True,1.0,1.0,2,0.499,,0,,,0,,0.0,2,1.0,,0,,,0,,0.0,2,1.0,,0,,,0,,,0,,1.0
7kdtB_6z4uA,1,7,1000,1.0,1.0,False,1.0,1.0,1,1.0,,0,,,0,,1.0,1,1.0,,0,,,0,,1.0,1,1.0,,0,,,0,,,0,,1.0
