pair_id,method,n_leaves,n_F1c_leaves,n_F2c_leaves,n_Amc_leaves,parsimony_score,parsimony_p,nn_concordance,nn_concordance_p,nn3_concordance,nn3_concordance_p,D_statistic,notes,n_clusters,parsimony_p_bh,nn_concordance_p_bh,nn3_concordance_p_bh
2p3vD_2p3vA,AF2,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2p3vD_2p3vA,ESM,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2p3vD_2p3vA,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2p3vD_2p3vA,DDG,100,20,31,49,13.0,0.0697,0.6471,0.1095,0.549,0.2886,0.7098,,100,0.17425,0.22305555555555556,0.45995625
2p3vD_2p3vA,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2pbkB_3njqA,AF2,16,1,0,15,,,,,,,,no_F1F2_split,16,,,
2pbkB_3njqA,ESM,16,0,1,15,,,,,,,,no_F1F2_split,16,,,
2pbkB_3njqA,MSAT,16,0,0,16,,,,,,,,no_F1F2_split,16,,,
2pbkB_3njqA,DDG,16,7,7,2,2.0,0.0299,0.8571,0.0299,0.8095,0.005,-2.3746,,16,0.082225,0.09136111111111112,0.0159375
2pbkB_3njqA,CCMpred,16,0,0,16,,,,,,,,no_F1F2_split,16,,,
2wcdX_4phqA,AF2,10,2,3,5,1.0,0.199,1.0,0.0846,0.4,0.6866,0.2527,,10,0.36483333333333334,0.20230434782608694,0.8978615384615384
2wcdX_4phqA,ESM,10,0,1,9,,,,,,,,no_F1F2_split,10,,,
2wcdX_4phqA,MSAT,10,1,0,9,,,,,,,,no_F1F2_split,10,,,
2wcdX_4phqA,DDG,10,5,5,0,4.0,0.8806,0.6,0.2637,0.3333,0.9701,2.1286,,10,1.0,0.4265735294117647,1.0
2wcdX_4phqA,CCMpred,10,0,0,10,,,,,,,,no_F1F2_split,10,,,
2z9oB_1repC,AF2,100,8,11,81,7.0,0.8756,0.5789,0.2786,0.5439,0.1741,0.9752,,100,1.0,0.4378,0.29597
2z9oB_1repC,ESM,100,3,1,96,1.0,1.0,0.75,0.4826,0.5,1.0,0.6316,,100,1.0,0.7173783783783784,1.0
2z9oB_1repC,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2z9oB_1repC,DDG,100,39,41,20,11.0,0.005,0.85,0.005,0.7625,0.005,-0.2261,,100,0.021153846153846155,0.025,0.0159375
2z9oB_1repC,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
3j7vG_3j7wB,AF2,63,0,0,63,,,,,,,,no_F1F2_split,63,,,
3j7vG_3j7wB,ESM,63,0,1,62,,,,,,,,no_F1F2_split,63,,,
3j7vG_3j7wB,MSAT,63,0,0,63,,,,,,,,no_F1F2_split,63,,,
3j7vG_3j7wB,DDG,63,22,22,19,6.0,0.005,0.8409,0.005,0.7652,0.005,-0.5438,,63,0.021153846153846155,0.025,0.0159375
3j7vG_3j7wB,CCMpred,63,0,0,63,,,,,,,,no_F1F2_split,63,,,
3lqcA_1xntA,AF2,87,8,17,62,7.0,0.5871,0.52,0.6766,0.6267,0.1493,0.9929,,87,0.9381428571428572,0.8387500000000001,0.2625620689655172
3lqcA_1xntA,ESM,87,2,0,85,,,,,,,,no_F1F2_split,87,,,
3lqcA_1xntA,MSAT,87,0,0,87,,,,,,,,no_F1F2_split,87,,,
3lqcA_1xntA,DDG,87,34,38,15,11.0,0.005,0.8194,0.005,0.8009,0.005,-0.8479,,87,0.021153846153846155,0.025,0.0159375
3lqcA_1xntA,CCMpred,87,0,0,87,,,,,,,,no_F1F2_split,87,,,
3m7pA_3ejhA,AF2,100,19,22,59,10.0,0.0149,0.6341,0.1045,0.626,0.0199,0.569,,100,0.05463333333333333,0.2210576923076923,0.050745000000000005
3m7pA_3ejhA,ESM,100,3,3,94,2.0,0.597,0.8333,0.2139,0.4444,0.3831,0.9277,,100,0.9381428571428572,0.3795,0.57465
3m7pA_3ejhA,MSAT,100,0,1,99,,,,,,,,no_F1F2_split,100,,,
3m7pA_3ejhA,DDG,100,49,46,5,21.0,0.005,0.6842,0.01,0.6702,0.005,0.4248,,100,0.021153846153846155,0.03666666666666667,0.0159375
3m7pA_3ejhA,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
3mkoA_5ineA,AF2,14,4,5,5,2.0,0.1095,0.7778,0.0846,0.4074,0.7164,-0.112,,14,0.2409,0.20230434782608694,0.9096658536585365
3mkoA_5ineA,ESM,14,1,0,13,,,,,,,,no_F1F2_split,14,,,
3mkoA_5ineA,MSAT,14,0,0,14,,,,,,,,no_F1F2_split,14,,,
3mkoA_5ineA,DDG,14,5,6,3,2.0,0.0299,0.8182,0.0846,0.8788,0.005,-1.4787,,14,0.082225,0.20230434782608694,0.0159375
3mkoA_5ineA,CCMpred,14,0,0,14,,,,,,,,no_F1F2_split,14,,,
3zxgB_5ec5P,AF2,5,2,0,3,,,,,,,,no_F1F2_split,5,,,
3zxgB_5ec5P,ESM,5,0,0,5,,,,,,,,no_F1F2_split,5,,,
3zxgB_5ec5P,MSAT,5,0,0,5,,,,,,,,no_F1F2_split,5,,,
3zxgB_5ec5P,DDG,5,1,2,2,1.0,1.0,0.0,1.0,,,,,5,1.0,1.0,
3zxgB_5ec5P,CCMpred,5,0,0,5,,,,,,,,no_F1F2_split,5,,,
4rmbB_4rmbA,AF2,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4rmbB_4rmbA,ESM,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4rmbB_4rmbA,MSAT,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4rmbB_4rmbA,DDG,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4rmbB_4rmbA,CCMpred,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4tsyD_3zwgN,AF2,34,0,1,33,,,,,,,,no_F1F2_split,34,,,
4tsyD_3zwgN,ESM,34,0,1,33,,,,,,,,no_F1F2_split,34,,,
4tsyD_3zwgN,MSAT,34,0,0,34,,,,,,,,no_F1F2_split,34,,,
4tsyD_3zwgN,DDG,34,10,15,9,2.0,0.005,0.96,0.005,0.9067,0.005,-0.9232,,34,0.021153846153846155,0.025,0.0159375
4tsyD_3zwgN,CCMpred,34,0,0,34,,,,,,,,no_F1F2_split,34,,,
5jytA_2qkeE,AF2,100,3,4,93,3.0,1.0,0.0,1.0,0.381,0.7313,1.2755,,100,1.0,1.0,0.9096658536585365
5jytA_2qkeE,ESM,100,1,0,99,,,,,,,,no_F1F2_split,100,,,
5jytA_2qkeE,MSAT,100,3,0,97,,,,,,,,no_F1F2_split,100,,,
5jytA_2qkeE,DDG,100,36,41,23,11.0,0.005,0.8571,0.005,0.7922,0.005,-0.1331,,100,0.021153846153846155,0.025,0.0159375
5jytA_2qkeE,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
