pair_id,cluster,method,TM1_max,TM2_max,TM1_mean,TM2_mean,TMdiff_max,TMdiff_mean,n_models,n_toward_f1,n_toward_f2,vote_frac_f1,pref,TMdiff_centered,pref_centered,pair_median_used,t1_recall,t2_recall,metric_used,ddg_bias_mean,ddg_bias_std,ddg_sum_F1_mean,ddg_sum_F2_mean
1dzlA_5keqF,ShallowMsa_043,AF3,0.4141,0.3989,0.4138,0.3981,0.0152,0.0157,2,2,0,1.0,Amb,0.0048,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_044,AF3,0.4396,0.4257,0.4361,0.4246,0.0138,0.0114,2,2,0,1.0,Amb,0.0034,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_045,AF3,0.2937,0.2883,0.2932,0.2882,0.0054,0.0051,2,2,0,1.0,Amb,-0.005,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_046,AF3,0.5055,0.4949,0.5055,0.4949,0.0107,0.0107,2,2,0,1.0,Amb,0.0003,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_047,AF3,0.2091,0.1983,0.1989,0.1863,0.0108,0.0126,2,2,0,1.0,Amb,0.0004,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_048,AF3,0.5183,0.4991,0.5178,0.4984,0.0192,0.0194,2,2,0,1.0,Amb,0.0088,Amb,0.0104,,,,,,,
1dzlA_5keqF,ShallowMsa_000,ESM,0.2168,0.2107,0.2168,0.2107,0.0061,0.0061,1,1,0,1.0,Amb,0.0029,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_001,ESM,0.2541,0.2464,0.2541,0.2464,0.0078,0.0078,1,1,0,1.0,Amb,0.0046,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_002,ESM,0.2442,0.2137,0.2442,0.2137,0.0305,0.0305,1,1,0,1.0,Amb,0.0273,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_003,ESM,0.2406,0.2363,0.2406,0.2363,0.0043,0.0043,1,1,0,1.0,Amb,0.0011,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_004,ESM,0.221,0.2479,0.221,0.2479,-0.0268,-0.0268,1,0,1,0.0,Amb,-0.03,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_005,ESM,0.238,0.2152,0.238,0.2152,0.0228,0.0228,1,1,0,1.0,Amb,0.0196,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_006,ESM,0.3424,0.3279,0.3424,0.3279,0.0145,0.0145,1,1,0,1.0,Amb,0.0113,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_007,ESM,0.2203,0.2327,0.2203,0.2327,-0.0124,-0.0124,1,0,1,0.0,Amb,-0.0156,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_008,ESM,0.247,0.2487,0.247,0.2487,-0.0018,-0.0018,1,0,1,0.0,Amb,-0.005,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_009,ESM,0.2317,0.2341,0.2317,0.2341,-0.0025,-0.0025,1,0,1,0.0,Amb,-0.0057,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_010,ESM,0.2407,0.2395,0.2407,0.2395,0.0013,0.0013,1,1,0,1.0,Amb,-0.0019,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_011,ESM,0.2399,0.2151,0.2399,0.2151,0.0248,0.0248,1,1,0,1.0,Amb,0.0216,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_012,ESM,0.2466,0.2289,0.2466,0.2289,0.0177,0.0177,1,1,0,1.0,Amb,0.0145,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_013,ESM,0.2488,0.2345,0.2488,0.2345,0.0143,0.0143,1,1,0,1.0,Amb,0.0111,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_014,ESM,0.2467,0.2263,0.2467,0.2263,0.0203,0.0203,1,1,0,1.0,Amb,0.0171,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_015,ESM,0.2368,0.2262,0.2368,0.2262,0.0106,0.0106,1,1,0,1.0,Amb,0.0074,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_016,ESM,0.2436,0.2261,0.2436,0.2261,0.0175,0.0175,1,1,0,1.0,Amb,0.0143,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_017,ESM,0.2567,0.2702,0.2567,0.2702,-0.0135,-0.0135,1,0,1,0.0,Amb,-0.0167,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_018,ESM,0.2375,0.2353,0.2375,0.2353,0.0022,0.0022,1,1,0,1.0,Amb,-0.001,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_019,ESM,0.3837,0.3379,0.3837,0.3379,0.0458,0.0458,1,1,0,1.0,Amb,0.0426,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_020,ESM,0.3041,0.2744,0.3041,0.2744,0.0297,0.0297,1,1,0,1.0,Amb,0.0265,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_021,ESM,0.2746,0.3237,0.2746,0.3237,-0.0491,-0.0491,1,0,1,0.0,Amb,-0.0523,F2,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_022,ESM,0.2395,0.2347,0.2395,0.2347,0.0049,0.0049,1,1,0,1.0,Amb,0.0017,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_023,ESM,0.2278,0.225,0.2278,0.225,0.0028,0.0028,1,1,0,1.0,Amb,-0.0004,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_024,ESM,0.242,0.2336,0.242,0.2336,0.0084,0.0084,1,1,0,1.0,Amb,0.0052,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_025,ESM,0.2316,0.243,0.2316,0.243,-0.0115,-0.0115,1,0,1,0.0,Amb,-0.0147,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_026,ESM,0.2167,0.22,0.2167,0.22,-0.0032,-0.0032,1,0,1,0.0,Amb,-0.0064,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_027,ESM,0.2798,0.277,0.2798,0.277,0.0028,0.0028,1,1,0,1.0,Amb,-0.0004,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_028,ESM,0.2282,0.2356,0.2282,0.2356,-0.0074,-0.0074,1,0,1,0.0,Amb,-0.0106,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_029,ESM,0.2283,0.2255,0.2283,0.2255,0.0028,0.0028,1,1,0,1.0,Amb,-0.0004,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_030,ESM,0.2276,0.2223,0.2276,0.2223,0.0053,0.0053,1,1,0,1.0,Amb,0.0021,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_031,ESM,0.3066,0.3199,0.3066,0.3199,-0.0133,-0.0133,1,0,1,0.0,Amb,-0.0165,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_032,ESM,0.2762,0.2939,0.2762,0.2939,-0.0177,-0.0177,1,0,1,0.0,Amb,-0.0209,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_033,ESM,0.2069,0.2046,0.2069,0.2046,0.0023,0.0023,1,1,0,1.0,Amb,-0.0009,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_034,ESM,0.2545,0.2629,0.2545,0.2629,-0.0084,-0.0084,1,0,1,0.0,Amb,-0.0116,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_035,ESM,0.2396,0.2458,0.2396,0.2458,-0.0062,-0.0062,1,0,1,0.0,Amb,-0.0094,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_036,ESM,0.1907,0.217,0.1907,0.217,-0.0263,-0.0263,1,0,1,0.0,Amb,-0.0295,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_037,ESM,0.2291,0.2252,0.2291,0.2252,0.0039,0.0039,1,1,0,1.0,Amb,0.0007,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_038,ESM,0.5181,0.5077,0.5181,0.5077,0.0104,0.0104,1,1,0,1.0,Amb,0.0072,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_039,ESM,0.3248,0.3128,0.3248,0.3128,0.012,0.012,1,1,0,1.0,Amb,0.0088,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_040,ESM,0.3339,0.3269,0.3339,0.3269,0.007,0.007,1,1,0,1.0,Amb,0.0038,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_041,ESM,0.2335,0.2279,0.2335,0.2279,0.0056,0.0056,1,1,0,1.0,Amb,0.0024,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_042,ESM,0.2603,0.2571,0.2603,0.2571,0.0032,0.0032,1,1,0,1.0,Amb,0.0,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_043,ESM,0.2609,0.2415,0.2609,0.2415,0.0194,0.0194,1,1,0,1.0,Amb,0.0162,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_044,ESM,0.2301,0.2455,0.2301,0.2455,-0.0154,-0.0154,1,0,1,0.0,Amb,-0.0186,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_045,ESM,0.2549,0.2537,0.2549,0.2537,0.0012,0.0012,1,1,0,1.0,Amb,-0.002,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_046,ESM,0.3759,0.3737,0.3759,0.3737,0.0022,0.0022,1,1,0,1.0,Amb,-0.001,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_047,ESM,0.3458,0.3079,0.3458,0.3079,0.038,0.038,1,1,0,1.0,Amb,0.0348,Amb,0.0032,,,,,,,
1dzlA_5keqF,ShallowMsa_048,ESM,0.2462,0.2672,0.2462,0.2672,-0.021,-0.021,1,0,1,0.0,Amb,-0.0242,Amb,0.0032,,,,,,,
1dzlA_5keqF,DeepMsa,MSAT,0.148,0.1553,0.148,0.1553,-0.0073,-0.0073,1,0,1,0.0,Amb,-0.0073,Amb,0.0,0.148,0.1553,t_recall,,,,
1dzlA_5keqF,ShallowMsa_000,MSAT,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,Amb,0.0,Amb,0.0,0.0,0.0,t_recall,,,,
