pair_id,n_methods,AF2_AF3_pct,AF2_AF3_n,AF2_AF3_p,AF2_ESM_pct,AF2_ESM_n,AF2_ESM_p,AF2_MSAT_pct,AF2_MSAT_n,AF2_MSAT_p,AF2_CCMpred_pct,AF2_CCMpred_n,AF2_CCMpred_p,AF2_DDG_pct,AF2_DDG_n,AF2_DDG_p,AF2_Boltz2_pct,AF2_Boltz2_n,AF2_Boltz2_p,AF2_BioEmu_pct,AF2_BioEmu_n,AF2_BioEmu_p,AF3_ESM_pct,AF3_ESM_n,AF3_ESM_p,AF3_MSAT_pct,AF3_MSAT_n,AF3_MSAT_p,AF3_CCMpred_pct,AF3_CCMpred_n,AF3_CCMpred_p,AF3_DDG_pct,AF3_DDG_n,AF3_DDG_p,AF3_Boltz2_pct,AF3_Boltz2_n,AF3_Boltz2_p,AF3_BioEmu_pct,AF3_BioEmu_n,AF3_BioEmu_p,ESM_MSAT_pct,ESM_MSAT_n,ESM_MSAT_p,ESM_CCMpred_pct,ESM_CCMpred_n,ESM_CCMpred_p,ESM_DDG_pct,ESM_DDG_n,ESM_DDG_p,ESM_Boltz2_pct,ESM_Boltz2_n,ESM_Boltz2_p,ESM_BioEmu_pct,ESM_BioEmu_n,ESM_BioEmu_p,MSAT_CCMpred_pct,MSAT_CCMpred_n,MSAT_CCMpred_p,MSAT_DDG_pct,MSAT_DDG_n,MSAT_DDG_p,MSAT_Boltz2_pct,MSAT_Boltz2_n,MSAT_Boltz2_p,MSAT_BioEmu_pct,MSAT_BioEmu_n,MSAT_BioEmu_p,CCMpred_DDG_pct,CCMpred_DDG_n,CCMpred_DDG_p,CCMpred_Boltz2_pct,CCMpred_Boltz2_n,CCMpred_Boltz2_p,CCMpred_BioEmu_pct,CCMpred_BioEmu_n,CCMpred_BioEmu_p,DDG_Boltz2_pct,DDG_Boltz2_n,DDG_Boltz2_p,DDG_BioEmu_pct,DDG_BioEmu_n,DDG_BioEmu_p,Boltz2_BioEmu_pct,Boltz2_BioEmu_n,Boltz2_BioEmu_p,mean_concordance,mean_n_clusters,max_concordance_methods,max_concordance_pct
1nrjB_2gedB,8,0.66,100.0,0.001,0.54,100.0,0.242,0.545,11.0,0.5,,0.0,,0.62,100.0,0.0107,0.58,100.0,0.0668,0.367,98.0,0.9968,0.52,100.0,0.3821,0.455,11.0,0.7268,,0.0,,0.52,100.0,0.3821,0.5,100.0,0.5398,0.459,98.0,0.8184,0.727,11.0,0.1139,,0.0,,0.54,100.0,0.242,0.48,100.0,0.6915,0.5,98.0,0.5402,,0.0,,0.364,11.0,0.8861,0.545,11.0,0.5,0.364,11.0,0.8861,,0.0,,,0.0,,,0.0,,0.48,100.0,0.6915,0.49,98.0,0.6191,0.429,98.0,0.9351,0.509,74.1,ESM~MSAT,0.727
1qb3A_3qy2A,8,0.6,100.0,0.0287,0.58,100.0,0.0668,0.429,7.0,0.7752,,0.0,,0.5,100.0,0.5398,0.54,100.0,0.242,0.5,98.0,0.5402,0.6,100.0,0.0287,0.571,7.0,0.5,,0.0,,0.54,100.0,0.242,0.56,100.0,0.1357,0.48,98.0,0.6932,0.429,7.0,0.7752,,0.0,,0.42,100.0,0.9554,0.64,100.0,0.0035,0.5,98.0,0.5402,,0.0,,0.571,7.0,0.5,0.571,7.0,0.5,0.143,7.0,0.9883,,0.0,,,0.0,,,0.0,,0.44,100.0,0.9032,0.561,98.0,0.1332,0.602,98.0,0.0275,0.513,73.0,ESM~Boltz2,0.64
1qlnA_1h38D,8,0.465,99.0,0.7893,0.52,100.0,0.3821,0.4,10.0,0.8286,,0.0,,0.44,100.0,0.9032,0.505,99.0,0.5,0.5,4.0,1.0,0.596,99.0,0.0352,0.5,10.0,0.6241,,0.0,,0.515,99.0,0.4203,0.52,98.0,0.3809,1.0,4.0,1.0,0.6,10.0,0.3759,,0.0,,0.52,100.0,0.3821,0.525,99.0,0.3438,0.25,4.0,1.0,,0.0,,0.4,10.0,0.8286,0.5,10.0,0.6241,,0.0,,,0.0,,,0.0,,,0.0,,0.495,99.0,0.5797,0.75,4.0,1.0,0.75,4.0,1.0,0.538,53.1,AF3~BioEmu,1.0
1rk4B_1k0nA,8,0.56,100.0,0.1357,0.52,100.0,0.3821,0.75,8.0,0.1444,,0.0,,0.44,100.0,0.9032,0.54,100.0,0.242,0.663,98.0,0.0009,0.54,100.0,0.242,0.75,8.0,0.1444,,0.0,,0.46,100.0,0.8159,0.42,100.0,0.9554,0.622,98.0,0.0101,0.75,8.0,0.1444,,0.0,,0.6,100.0,0.0287,0.56,100.0,0.1357,0.541,98.0,0.2398,,0.0,,0.5,8.0,0.6382,0.625,8.0,0.3618,1.0,8.0,0.0067,,0.0,,,0.0,,,0.0,,0.48,100.0,0.6915,0.459,98.0,0.8184,0.551,98.0,0.1816,0.587,73.2,MSAT~BioEmu,1.0
1svfC_4wsgC,8,1.0,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,,0.0,,0.0,4.0,1.0,0.5,4.0,1.0,0.5,4.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,,0.0,,0.0,4.0,1.0,0.5,4.0,1.0,0.5,4.0,1.0,0.0,1.0,1.0,,0.0,,0.0,4.0,1.0,0.5,4.0,1.0,0.5,4.0,1.0,,0.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.5,4.0,1.0,0.5,4.0,1.0,0.5,4.0,1.0,0.405,3.1,AF2~AF3,1.0
1wp8C_5ejbC,8,0.692,13.0,0.1336,0.538,13.0,0.5,0.0,1.0,1.0,,0.0,,0.615,13.0,0.2895,0.308,13.0,0.952,0.462,13.0,0.7105,0.538,13.0,0.5,0.0,1.0,1.0,,0.0,,0.462,13.0,0.7105,0.538,13.0,0.5,0.615,13.0,0.2895,1.0,1.0,1.0,,0.0,,0.385,13.0,0.8664,0.462,13.0,0.7105,0.692,13.0,0.1336,,0.0,,0.0,1.0,1.0,,0.0,,1.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.385,13.0,0.8664,0.154,13.0,0.9972,0.692,13.0,0.1336,0.477,10.0,ESM~MSAT,1.0
1x0gD_1x0gA,8,0.64,100.0,0.0035,0.68,100.0,0.0002,0.5,20.0,0.5885,0.444,9.0,0.7475,0.5,100.0,0.5398,,0.0,,,0.0,,0.54,100.0,0.242,0.6,20.0,0.2512,0.556,9.0,0.5,0.48,100.0,0.6915,,0.0,,,0.0,,0.65,20.0,0.1318,0.444,9.0,0.7475,0.56,100.0,0.1357,,0.0,,,0.0,,0.375,8.0,0.8556,0.6,20.0,0.2512,,0.0,,,0.0,,0.556,9.0,0.5,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.542,48.3,AF2~ESM,0.68
1xezA_3o44A,8,0.4,5.0,0.8145,0.4,5.0,0.8145,1.0,1.0,1.0,,0.0,,0.2,5.0,0.9632,0.6,5.0,0.5,1.0,3.0,1.0,0.4,5.0,0.8145,0.0,1.0,1.0,,0.0,,1.0,5.0,0.0368,0.6,5.0,0.5,0.667,3.0,1.0,,0.0,,,0.0,,0.4,5.0,0.8145,0.8,5.0,0.1855,0.667,3.0,1.0,,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.0,,,0.0,,0.6,5.0,0.5,0.333,3.0,1.0,0.5,4.0,1.0,0.528,3.5,AF2~MSAT,1.0
1xjuB_1xjtA,8,0.62,100.0,0.0107,0.56,100.0,0.1357,0.5,14.0,0.6054,,0.0,,0.38,100.0,0.9938,0.6,100.0,0.0287,0.46,100.0,0.8159,0.66,100.0,0.001,0.5,14.0,0.6054,,0.0,,0.44,100.0,0.9032,0.6,100.0,0.0287,0.54,100.0,0.242,0.429,14.0,0.7887,,0.0,,0.5,100.0,0.5398,0.5,100.0,0.5398,0.54,100.0,0.242,,0.0,,0.571,14.0,0.3946,0.571,14.0,0.3946,0.429,14.0,0.7887,,0.0,,,0.0,,,0.0,,0.44,100.0,0.9032,0.42,100.0,0.9554,0.48,100.0,0.6915,0.511,75.4,AF3~ESM,0.66
1xtgB_3j97M,8,0.66,100.0,0.001,0.58,100.0,0.0668,,0.0,,,0.0,,0.52,100.0,0.3821,0.46,100.0,0.8159,0.44,100.0,0.9032,0.56,100.0,0.1357,,0.0,,,0.0,,0.48,100.0,0.6915,0.54,100.0,0.242,0.34,100.0,0.9995,,0.0,,,0.0,,0.58,100.0,0.0668,0.5,100.0,0.5398,0.4,100.0,0.9821,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.54,100.0,0.242,0.48,100.0,0.6915,0.64,100.0,0.0035,0.515,100.0,AF2~AF3,0.66
1zk9A_3jv6A,8,0.552,96.0,0.1792,0.536,97.0,0.2712,0.526,19.0,0.5,,0.0,,0.536,97.0,0.2712,0.505,97.0,0.5,0.753,97.0,0.0,0.51,96.0,0.4594,0.474,19.0,0.6768,,0.0,,0.5,96.0,0.5406,0.562,96.0,0.1308,0.531,96.0,0.3049,0.45,20.0,0.7488,,0.0,,0.804,97.0,0.0,0.567,97.0,0.1115,0.557,97.0,0.155,,0.0,,0.25,20.0,0.993,0.3,20.0,0.9779,0.35,20.0,0.9412,,0.0,,,0.0,,,0.0,,0.474,97.0,0.7288,0.515,97.0,0.4195,0.474,97.0,0.7288,0.511,74.7,ESM~DDG,0.804
2bzyB_2lqwA,8,0.639,83.0,0.0079,0.325,83.0,0.9995,0.0,1.0,1.0,,0.0,,0.337,83.0,0.9989,0.446,83.0,0.8638,0.639,83.0,0.0079,0.422,83.0,0.9378,0.0,1.0,1.0,1.0,1.0,1.0,0.337,83.0,0.9989,0.53,83.0,0.3303,0.602,83.0,0.0395,1.0,1.0,1.0,0.0,1.0,1.0,0.53,83.0,0.3303,0.578,83.0,0.0939,0.59,83.0,0.0622,,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.482,83.0,0.6697,0.446,83.0,0.8638,0.627,83.0,0.0141,0.482,48.3,AF3~CCMpred,1.0
2c1vB_2c1uC,8,0.54,100.0,0.242,0.5,100.0,0.5398,0.556,18.0,0.4068,0.444,18.0,0.7602,0.48,100.0,0.6915,0.52,98.0,0.3809,0.556,99.0,0.1574,0.5,100.0,0.5398,0.5,18.0,0.5932,0.5,18.0,0.5932,0.6,100.0,0.0287,0.571,98.0,0.0946,0.596,99.0,0.0352,0.667,18.0,0.1193,0.444,18.0,0.7602,0.6,100.0,0.0287,0.429,98.0,0.9351,0.545,99.0,0.2107,0.444,18.0,0.7602,0.5,18.0,0.5932,0.412,17.0,0.834,0.5,18.0,0.5932,0.389,18.0,0.8807,0.588,17.0,0.3138,0.389,18.0,0.8807,0.48,98.0,0.6932,0.545,99.0,0.2107,0.505,97.0,0.5,0.511,61.3,ESM~MSAT,0.667
2grmB_2axzA,6,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.667,2.0,AF2~AF3,1.0
2h44A_1rkpA,8,0.546,97.0,0.2083,0.54,100.0,0.242,0.4,20.0,0.8682,1.0,2.0,1.0,0.6,100.0,0.0287,0.505,97.0,0.5,0.49,98.0,0.6191,0.515,97.0,0.4195,0.65,20.0,0.1318,0.5,2.0,1.0,0.505,97.0,0.5,0.521,94.0,0.3785,0.537,95.0,0.2691,0.45,20.0,0.7488,0.5,2.0,1.0,0.48,100.0,0.6915,0.454,97.0,0.845,0.418,98.0,0.957,0.5,2.0,1.0,0.5,20.0,0.5885,0.35,20.0,0.9412,0.316,19.0,0.9668,0.5,2.0,1.0,0.5,2.0,1.0,1.0,2.0,1.0,0.474,97.0,0.7288,0.49,98.0,0.6191,0.568,95.0,0.1091,0.529,56.9,AF2~CCMpred,1.0
2jmrA_4j3oF,8,0.6,100.0,0.0287,0.5,100.0,0.5398,0.4,20.0,0.8682,,0.0,,0.58,100.0,0.0668,0.58,100.0,0.0668,0.62,100.0,0.0107,0.62,100.0,0.0107,0.35,20.0,0.9412,,0.0,,0.56,100.0,0.1357,0.48,100.0,0.6915,0.5,100.0,0.5398,0.4,20.0,0.8682,,0.0,,0.48,100.0,0.6915,0.48,100.0,0.6915,0.48,100.0,0.6915,,0.0,,0.55,20.0,0.4115,0.6,20.0,0.2512,0.6,20.0,0.2512,,0.0,,,0.0,,,0.0,,0.56,100.0,0.1357,0.48,100.0,0.6915,0.5,100.0,0.5398,0.52,77.1,AF2~BioEmu,0.62
2k42A_1ceeB,8,0.84,100.0,0.0,0.76,100.0,0.0,0.75,20.0,0.0221,,0.0,,0.6,100.0,0.0287,0.7,100.0,0.0,0.68,100.0,0.0002,0.74,100.0,0.0,0.7,20.0,0.0588,,0.0,,0.64,100.0,0.0035,0.74,100.0,0.0,0.72,100.0,0.0,0.7,20.0,0.0588,,0.0,,0.58,100.0,0.0668,0.68,100.0,0.0002,0.7,100.0,0.0,,0.0,,0.55,20.0,0.4115,0.55,20.0,0.4115,0.75,20.0,0.0221,,0.0,,,0.0,,,0.0,,0.58,100.0,0.0668,0.62,100.0,0.0107,0.66,100.0,0.001,0.678,77.1,AF2~AF3,0.84
2kb8A_6vw2A,8,0.9,20.0,0.0004,0.8,20.0,0.007,,0.0,,,0.0,,0.2,20.0,0.9982,0.7,20.0,0.0588,0.9,20.0,0.0004,0.8,20.0,0.007,,0.0,,,0.0,,0.3,20.0,0.9779,0.8,20.0,0.007,0.8,20.0,0.007,,0.0,,,0.0,,0.4,20.0,0.8682,0.6,20.0,0.2512,0.7,20.0,0.0588,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.3,20.0,0.9779,0.3,20.0,0.9779,0.7,20.0,0.0588,0.613,20.0,AF2~AF3,0.9
2kkwA_2n0aD,8,0.562,32.0,0.2979,0.562,32.0,0.2979,,0.0,,,0.0,,0.5,32.0,0.5702,0.562,32.0,0.2979,0.5,32.0,0.5702,0.562,32.0,0.2979,,0.0,,,0.0,,0.312,32.0,0.9892,0.562,32.0,0.2979,0.312,32.0,0.9892,,0.0,,,0.0,,0.625,32.0,0.108,0.75,32.0,0.004,0.625,32.0,0.108,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,0.562,32.0,0.2979,0.75,32.0,0.004,0.625,32.0,0.108,0.558,32.0,ESM~Boltz2,0.75
2lelA_2k0qA,8,0.9,20.0,0.0004,0.7,20.0,0.0588,1.0,1.0,1.0,0.0,1.0,1.0,0.7,20.0,0.0588,0.7,20.0,0.0588,0.8,20.0,0.007,0.7,20.0,0.0588,1.0,1.0,1.0,0.0,1.0,1.0,0.7,20.0,0.0588,0.7,20.0,0.0588,0.9,20.0,0.0004,1.0,1.0,1.0,0.0,1.0,1.0,0.5,20.0,0.5885,0.7,20.0,0.0588,0.7,20.0,0.0588,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7,20.0,0.0588,0.7,20.0,0.0588,0.7,20.0,0.0588,0.6,11.2,AF2~MSAT,1.0
2lepA_4hddA,8,0.84,100.0,0.0,0.74,100.0,0.0,0.6,20.0,0.2512,1.0,1.0,1.0,0.48,100.0,0.6915,0.74,100.0,0.0,0.54,100.0,0.242,0.76,100.0,0.0,0.65,20.0,0.1318,1.0,1.0,1.0,0.58,100.0,0.0668,0.76,100.0,0.0,0.52,100.0,0.3821,0.5,20.0,0.5885,1.0,1.0,1.0,0.6,100.0,0.0287,0.72,100.0,0.0,0.54,100.0,0.242,1.0,1.0,1.0,0.65,20.0,0.1318,0.65,20.0,0.1318,0.5,20.0,0.5885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52,100.0,0.3821,0.44,100.0,0.9032,0.6,100.0,0.0287,0.712,58.1,AF2~CCMpred,1.0
2lv1A_6lniA,8,0.923,26.0,0.0,0.538,26.0,0.4223,1.0,2.0,1.0,,0.0,,0.538,26.0,0.4223,0.615,26.0,0.1634,0.769,26.0,0.0054,0.538,26.0,0.4223,1.0,2.0,1.0,,0.0,,0.462,26.0,0.7219,0.538,26.0,0.4223,0.692,26.0,0.0388,0.5,2.0,1.0,,0.0,,0.615,26.0,0.1634,0.769,26.0,0.0054,0.538,26.0,0.4223,,0.0,,0.5,2.0,1.0,0.5,2.0,1.0,1.0,2.0,1.0,,0.0,,,0.0,,,0.0,,0.692,26.0,0.0388,0.615,26.0,0.1634,0.769,26.0,0.0054,0.672,19.1,AF2~MSAT,1.0
2mwfA_2nntA,8,0.84,100.0,0.0,0.8,100.0,0.0,0.5,10.0,0.6241,0.588,17.0,0.3138,0.54,100.0,0.242,0.78,100.0,0.0,0.796,98.0,0.0,0.72,100.0,0.0,0.7,10.0,0.1714,0.647,17.0,0.166,0.48,100.0,0.6915,0.76,100.0,0.0,0.755,98.0,0.0,0.4,10.0,0.8286,0.471,17.0,0.6862,0.52,100.0,0.3821,0.78,100.0,0.0,0.806,98.0,0.0,0.5,8.0,0.6382,0.7,10.0,0.1714,0.4,10.0,0.8286,0.4,10.0,0.8286,0.588,17.0,0.3138,0.588,17.0,0.3138,0.529,17.0,0.5,0.5,100.0,0.5398,0.541,98.0,0.2398,0.827,98.0,0.0,0.623,59.3,AF2~AF3,0.84
2n54B_2hdmA,8,0.76,100.0,0.0,0.567,97.0,0.1115,0.526,19.0,0.5,0.5,2.0,1.0,0.5,100.0,0.5398,0.58,100.0,0.0668,0.7,100.0,0.0,0.67,97.0,0.0006,0.579,19.0,0.3232,1.0,2.0,1.0,0.54,100.0,0.242,0.58,100.0,0.0668,0.58,100.0,0.0668,0.722,18.0,0.0495,1.0,2.0,1.0,0.68,97.0,0.0003,0.536,97.0,0.2712,0.485,97.0,0.6577,1.0,2.0,1.0,0.526,19.0,0.5,0.474,19.0,0.6768,0.579,19.0,0.3232,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0.64,100.0,0.0035,0.5,100.0,0.5398,0.64,100.0,0.0035,0.62,57.6,AF3~CCMpred,1.0
