pair_id,mean_concordance_corrected,mean_n_clusters_corrected,n_method_pairs,AF2~ESM_pct_corrected,AF2~ESM_n_corrected,AF2~DDG_pct_corrected,AF2~DDG_n_corrected,ESM~DDG_pct_corrected,ESM~DDG_n_corrected,AF2~MSAT_pct_corrected,AF2~MSAT_n_corrected,ESM~MSAT_pct_corrected,ESM~MSAT_n_corrected,MSAT~DDG_pct_corrected,MSAT~DDG_n_corrected
2lelA_2k0qA,0.9416666666666668,4.166666666666667,6,1.0,1.0,0.65,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2lv1A_6lniA,0.4358974358974359,6.833333333333333,6,0.0,3.0,0.6153846153846154,26,0.6666666666666666,3.0,1.0,3.0,0.0,3.0,0.3333333333333333,3.0
2mwfA_2nntA,0.5377777777777778,34.166666666666664,6,0.38095238095238093,21.0,0.56,100,0.5238095238095238,21.0,0.7142857142857143,21.0,0.47619047619047616,21.0,0.5714285714285714,21.0
2n54B_2hdmA,0.5076984126984126,34.166666666666664,6,0.42857142857142855,21.0,0.57,100,0.47619047619047616,21.0,0.47619047619047616,21.0,0.5714285714285714,21.0,0.5238095238095238,21.0
2namA_1uxmK,0.4734920634920634,34.166666666666664,6,0.23809523809523808,21.0,0.46,100,0.5238095238095238,21.0,0.38095238095238093,21.0,0.6666666666666666,21.0,0.5714285714285714,21.0
2p3vD_2p3vA,0.513157894736842,32.5,6,0.5789473684210527,19.0,0.5,100,0.5263157894736842,19.0,0.47368421052631576,19.0,0.47368421052631576,19.0,0.5263157894736842,19.0
2pbkB_3njqA,0.3645833333333333,3.5,6,0.0,1.0,0.1875,16,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2vfxL_3gmhL,0.5,33.333333333333336,6,0.7,20.0,0.5,100,0.45,20.0,0.4,20.0,0.4,20.0,0.55,20.0
2wcdX_4phqA,0.39999999999999997,2.5,6,0.0,1.0,0.4,10,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2z9oB_1repC,0.4779166666666666,30.0,6,0.625,16.0,0.43,100,0.4375,16.0,0.4375,16.0,0.4375,16.0,0.5,16.0
3g0hA_3ewsB,0.5109259259259259,31.666666666666668,6,0.6111111111111112,18.0,0.51,100,0.5555555555555556,18.0,0.5,18.0,0.3333333333333333,18.0,0.5555555555555556,18.0
3j7vG_3j7wB,0.4767195767195767,15.0,6,0.5,6.0,0.4603174603174603,63,0.5,6.0,0.2,5.0,0.8,5.0,0.4,5.0
3kdsG_2ce7C,0.5340350877192982,32.5,6,0.631578947368421,19.0,0.52,100,0.5263157894736842,19.0,0.631578947368421,19.0,0.6842105263157895,19.0,0.21052631578947367,19.0
3l9qB_4rr2D,0.4787157287157287,22.166666666666668,6,0.8571428571428571,14.0,0.5151515151515151,99,0.5,14.0,0.5,2.0,0.0,2.0,0.5,2.0
3lqcA_1xntA,0.5614115290839429,25.333333333333332,6,0.5,16.0,0.42528735632183906,87,0.625,16.0,0.6363636363636364,11.0,0.7272727272727273,11.0,0.45454545454545453,11.0
3m7pA_3ejhA,0.47555555555555556,20.5,6,0.7142857142857143,7.0,0.52,100,0.2857142857142857,7.0,0.0,3.0,0.3333333333333333,3.0,1.0,3.0
3meeA_4b3oB,0.4583333333333333,25.0,6,0.5,10.0,0.35,100,0.4,10.0,0.5,10.0,0.6,10.0,0.4,10.0
3mkoA_5ineA,0.3636363636363636,2.6666666666666665,6,1.0,1.0,0.18181818181818182,11,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
3t5oA_4a5wB,0.59,10.0,6,0.5,2.0,0.54,50,0.5,2.0,0.5,2.0,1.0,2.0,0.5,2.0
3ztjE_5hmgA,0.6903073286052009,19.666666666666668,3,1.0,6.0,0.40425531914893614,47,0.6666666666666666,6.0,,,,,,
3zxgB_5ec5P,0.0,5.0,1,,,0.0,5,,,,,,,,
4g0dZ_4fu4C,0.0,1.0,1,,,0.0,1,,,,,,,,
4h2aA_3j9cA,0.3972222222222222,12.5,6,0.0,3.0,0.38333333333333336,60,0.6666666666666666,3.0,1.0,3.0,0.0,3.0,0.3333333333333333,3.0
4o01D_4o0pA,0.4825,30.0,6,0.5,16.0,0.52,100,0.375,16.0,0.625,16.0,0.5,16.0,0.375,16.0
4ow6B_4ae0A,1.0,1.0,1,,,1.0,1,,,,,,,,
4pyjA_4pyiA,0.49561403508771934,32.5,6,0.21052631578947367,19.0,0.5,100,0.7368421052631579,19.0,0.5263157894736842,19.0,0.5789473684210527,19.0,0.42105263157894735,19.0
4q79F_4uv2D,0.5022807017543859,32.5,6,0.42105263157894735,19.0,0.54,100,0.3684210526315789,19.0,0.5263157894736842,19.0,0.5789473684210527,19.0,0.5789473684210527,19.0
4rmbB_4rmbA,1.0,2.0,1,,,1.0,2,,,,,,,,
4rwqB_4rwnA,0.5361426767676768,25.166666666666668,6,0.8181818181818182,11.0,0.4895833333333333,96,0.36363636363636365,11.0,0.36363636363636365,11.0,0.5454545454545454,11.0,0.6363636363636364,11.0
4tsyD_3zwgN,0.4264705882352941,6.5,6,1.0,1.0,0.5588235294117647,34,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
4xwsD_4y0mJ,0.47833333333333333,33.333333333333336,6,0.6,20.0,0.52,100,0.45,20.0,0.45,20.0,0.45,20.0,0.4,20.0
4yhdG_7ahlE,0.41111111111111115,4.166666666666667,6,0.5,2.0,0.4666666666666667,15,0.0,2.0,0.5,2.0,0.0,2.0,1.0,2.0
4zrbH_4zrbC,0.46301587301587305,34.166666666666664,6,0.42857142857142855,21.0,0.54,100,0.38095238095238093,21.0,0.5238095238095238,21.0,0.42857142857142855,21.0,0.47619047619047616,21.0
5hk5H_4jphB,0.503673835125448,26.5,6,0.5333333333333333,15.0,0.5053763440860215,93,0.4,15.0,0.6666666666666666,12.0,0.4166666666666667,12.0,0.5,12.0
5i2sA_5i2mA,0.25,1.8333333333333333,6,0.0,1.0,0.5,6,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
5jytA_2qkeE,0.49242424242424243,22.0,6,0.4090909090909091,22.0,0.45454545454545453,22,0.4090909090909091,22.0,0.5454545454545454,22.0,0.5909090909090909,22.0,0.5454545454545454,22.0
5jztG_5jzhA,0.42857142857142855,3.1666666666666665,6,0.0,1.0,0.5714285714285714,14,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
5l35G_5l35D,0.4166666666666667,2.8333333333333335,6,1.0,1.0,0.5,12,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5tpnA_1g2cF,1.0,3.0,1,,,1.0,3,,,,,,,,
7kdtB_6z4uA,1.0,1.0,1,,,1.0,1,,,,,,,,
