pair_id,method,n_leaves,n_F1c_leaves,n_F2c_leaves,n_Amc_leaves,parsimony_score,parsimony_p,nn_concordance,nn_concordance_p,nn3_concordance,nn3_concordance_p,D_statistic,notes,n_clusters,parsimony_p_bh,nn_concordance_p_bh,nn3_concordance_p_bh
2wcdX_4phqA,AF2,10,2,3,5,1.0,0.199,1.0,0.0846,0.4,0.6866,0.2527,,10,0.6875357142857144,0.423,1.0
2wcdX_4phqA,ESM,10,0,1,9,,,,,,,,no_F1F2_split,10,,,
2wcdX_4phqA,MSAT,10,1,0,9,,,,,,,,no_F1F2_split,10,,,
2wcdX_4phqA,DDG,10,4,4,2,3.0,0.7413,0.375,0.5522,0.4167,0.5323,1.611,,10,1.0,0.9994821428571429,1.0
2wcdX_4phqA,CCMpred,10,0,0,10,,,,,,,,no_F1F2_split,10,,,
2z9oB_1repC,AF2,100,2,3,95,2.0,1.0,0.4,0.5821,0.3333,1.0,1.0008,,100,1.0,0.9994821428571429,1.0
2z9oB_1repC,ESM,100,1,3,96,1.0,1.0,0.5,0.791,0.5,1.0,1.2152,,100,1.0,1.0,1.0
2z9oB_1repC,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
2z9oB_1repC,DDG,100,4,1,95,1.0,1.0,0.6,0.7811,0.5333,1.0,1.3541,,100,1.0,1.0,1.0
2z9oB_1repC,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
3j7vG_3j7wB,AF2,63,0,0,63,,,,,,,,no_F1F2_split,63,,,
3j7vG_3j7wB,ESM,63,0,1,62,,,,,,,,no_F1F2_split,63,,,
3j7vG_3j7wB,MSAT,63,0,0,63,,,,,,,,no_F1F2_split,63,,,
3j7vG_3j7wB,DDG,63,1,0,62,,,,,,,,no_F1F2_split,63,,,
3j7vG_3j7wB,CCMpred,63,0,0,63,,,,,,,,no_F1F2_split,63,,,
3lqcA_1xntA,AF2,87,0,2,85,,,,,,,,no_F1F2_split,87,,,
3lqcA_1xntA,ESM,87,2,0,85,,,,,,,,no_F1F2_split,87,,,
3lqcA_1xntA,MSAT,87,0,0,87,,,,,,,,no_F1F2_split,87,,,
3lqcA_1xntA,DDG,87,5,4,78,2.0,0.1642,0.8889,0.0348,0.7407,0.0199,0.3931,,87,0.61575,0.39149999999999996,0.11608333333333333
3lqcA_1xntA,CCMpred,87,0,0,87,,,,,,,,no_F1F2_split,87,,,
3m7pA_3ejhA,AF2,100,0,1,99,,,,,,,,no_F1F2_split,100,,,
3m7pA_3ejhA,ESM,100,2,2,96,1.0,0.3184,0.5,0.3632,0.3333,1.0,0.8236,,100,0.72765,0.742909090909091,1.0
3m7pA_3ejhA,MSAT,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
3m7pA_3ejhA,DDG,100,1,4,95,1.0,1.0,0.8,0.199,0.6667,0.3582,0.5967,,100,1.0,0.742909090909091,1.0
3m7pA_3ejhA,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
3mkoA_5ineA,AF2,14,4,5,5,2.0,0.1095,0.7778,0.0846,0.4074,0.7164,-0.112,,14,0.5373,0.423,1.0
3mkoA_5ineA,ESM,14,1,0,13,,,,,,,,no_F1F2_split,14,,,
3mkoA_5ineA,MSAT,14,0,0,14,,,,,,,,no_F1F2_split,14,,,
3mkoA_5ineA,DDG,14,5,6,3,2.0,0.0299,0.8182,0.0846,0.8788,0.005,-1.4787,,14,0.2691,0.423,0.035
3mkoA_5ineA,CCMpred,14,0,0,14,,,,,,,,no_F1F2_split,14,,,
3zxgB_5ec5P,AF2,5,2,0,3,,,,,,,,no_F1F2_split,5,,,
3zxgB_5ec5P,ESM,5,0,0,5,,,,,,,,no_F1F2_split,5,,,
3zxgB_5ec5P,MSAT,5,0,0,5,,,,,,,,no_F1F2_split,5,,,
3zxgB_5ec5P,DDG,5,1,2,2,1.0,1.0,0.0,1.0,,,,,5,1.0,1.0,
3zxgB_5ec5P,CCMpred,5,0,0,5,,,,,,,,no_F1F2_split,5,,,
4rmbB_4rmbA,AF2,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4rmbB_4rmbA,ESM,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4rmbB_4rmbA,MSAT,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4rmbB_4rmbA,DDG,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4rmbB_4rmbA,CCMpred,2,0,0,2,,,,,,,,no_F1F2_split,2,,,
4tsyD_3zwgN,AF2,34,0,1,33,,,,,,,,no_F1F2_split,34,,,
4tsyD_3zwgN,ESM,34,0,1,33,,,,,,,,no_F1F2_split,34,,,
4tsyD_3zwgN,MSAT,34,0,0,34,,,,,,,,no_F1F2_split,34,,,
4tsyD_3zwgN,DDG,34,7,13,14,1.0,0.005,1.0,0.005,1.0,0.005,-0.7325,,34,0.075,0.1125,0.035
4tsyD_3zwgN,CCMpred,34,0,0,34,,,,,,,,no_F1F2_split,34,,,
5jytA_2qkeE,AF2,100,4,5,91,4.0,1.0,0.1111,0.9751,0.4074,0.6915,1.1992,,100,1.0,1.0,1.0
5jytA_2qkeE,ESM,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
5jytA_2qkeE,MSAT,100,2,2,96,1.0,0.3184,1.0,0.3632,0.3333,1.0,0.5594,,100,0.72765,0.742909090909091,1.0
5jytA_2qkeE,DDG,100,4,4,92,2.0,0.2139,0.625,0.2786,0.4167,0.7164,0.7459,,100,0.6875357142857144,0.742909090909091,1.0
5jytA_2qkeE,CCMpred,100,0,0,100,,,,,,,,no_F1F2_split,100,,,
