pair_id,n_clusters,n_f1,n_f2,n_amb,n_transitions,n_fold_transitions,pattern,root_state,p_value,method,esm_agree_pct,error
3lowA_3m1bF,20.0,3.0,0.0,17.0,3.0,0.0,uniform,Amb,,fitch,75.0,
3lqcA_1xntA,11.0,3.0,0.0,8.0,2.0,0.0,uniform,F1,,fitch,90.9,
3m7pA_3ejhA,7.0,3.0,1.0,3.0,3.0,0.0,uniform,F2,0.585,fitch,42.9,
3meeA_4b3oB,10.0,1.0,1.0,8.0,2.0,0.0,uniform,Amb,1.0,fitch,80.0,
3mkoA_5ineA,1.0,0.0,1.0,0.0,0.0,0.0,uniform,F2,,fitch,0.0,
3r9jC_2kxoA,20.0,5.0,5.0,10.0,7.0,3.0,complex,Amb,0.108,fitch,35.0,
3t5oA_4a5wB,2.0,0.0,0.0,2.0,0.0,0.0,uniform,Amb,,fitch,100.0,
3v0tA_3uyiA,20.0,0.0,0.0,20.0,0.0,0.0,uniform,Amb,,fitch,100.0,
3ztjE_5hmgA,5.0,0.0,0.0,5.0,0.0,0.0,uniform,Amb,,fitch,100.0,
3zxgB_5ec5P,,,,,,,,,,,,timeout after 120s
4aalA_4aanA,19.0,0.0,0.0,19.0,0.0,0.0,uniform,Amb,,fitch,100.0,
4cmqB_4zt0C,7.0,1.0,0.0,6.0,1.0,0.0,uniform,Amb,,fitch,71.4,
4dxrA_4dxtA,20.0,0.0,0.0,20.0,0.0,0.0,uniform,Amb,,fitch,100.0,
4g0dZ_4fu4C,,,,,,,,,,,,timeout after 120s
4gqcB_4gqcC,21.0,0.0,0.0,21.0,0.0,0.0,uniform,Amb,,fitch,100.0,
4h2aA_3j9cA,3.0,1.0,1.0,1.0,2.0,1.0,recent_emergence,F1,1.0,fitch,33.3,
4n9wA_4nc9C,17.0,0.0,0.0,17.0,0.0,0.0,uniform,Amb,,fitch,100.0,
4o01D_4o0pA,16.0,0.0,0.0,16.0,0.0,0.0,uniform,Amb,,fitch,87.5,
4ow6B_4ae0A,,,,,,,,,,,,timeout after 120s
4pyjA_4pyiA,19.0,0.0,0.0,19.0,0.0,0.0,uniform,Amb,,fitch,100.0,
4q79F_4uv2D,19.0,4.0,8.0,7.0,10.0,4.0,complex,F2,0.935,fitch,42.1,
4qhhA_4qhfA,10.0,0.0,3.0,7.0,2.0,0.0,uniform,F2,,fitch,70.0,
4rmbB_4rmbA,,,,,,,,,,,,timeout after 120s
4rwqB_4rwnA,11.0,0.0,1.0,10.0,1.0,0.0,uniform,Amb,,fitch,90.9,
4tsyD_3zwgN,1.0,0.0,1.0,0.0,0.0,0.0,uniform,F2,,fitch,100.0,
4xwsD_4y0mJ,20.0,0.0,1.0,19.0,1.0,0.0,uniform,Amb,,fitch,95.0,
4ydqB_4twaA,17.0,0.0,0.0,17.0,0.0,0.0,uniform,Amb,,fitch,100.0,
4yhdG_7ahlE,2.0,0.0,0.0,2.0,0.0,0.0,uniform,Amb,,fitch,100.0,
4zrbH_4zrbC,21.0,0.0,1.0,20.0,1.0,0.0,uniform,Amb,,fitch,95.2,
5bmyA_5b3zA,16.0,0.0,0.0,16.0,0.0,0.0,uniform,Amb,,fitch,100.0,
5c1vB_5c1vA,18.0,0.0,0.0,18.0,0.0,0.0,uniform,Amb,,fitch,100.0,
5et5A_3ifaA,20.0,0.0,1.0,19.0,1.0,0.0,uniform,Amb,,fitch,95.0,
5f5rB_5f3kA,19.0,2.0,6.0,11.0,5.0,1.0,recent_emergence,Amb,0.046,fitch,63.2,
5hk5H_4jphB,12.0,0.0,2.0,10.0,2.0,0.0,uniform,Amb,,fitch,58.3,
5i2sA_5i2mA,1.0,0.0,1.0,0.0,0.0,0.0,uniform,F2,,fitch,0.0,
5jytA_2qkeE,22.0,3.0,4.0,15.0,7.0,0.0,uniform,Amb,1.0,fitch,72.7,
5jztG_5jzhA,1.0,0.0,1.0,0.0,0.0,0.0,uniform,F2,,fitch,100.0,
5l35G_5l35D,1.0,0.0,0.0,1.0,0.0,0.0,uniform,Amb,,fitch,100.0,
5lj3M_3tp2A,6.0,0.0,0.0,6.0,0.0,0.0,uniform,Amb,,fitch,100.0,
5ly6B_5aoeB,4.0,0.0,0.0,4.0,0.0,0.0,uniform,Amb,,fitch,50.0,
5tpnA_1g2cF,,,,,,,,,,,,timeout after 120s
5wrgC_1wyyB,2.0,1.0,1.0,0.0,1.0,1.0,ancient_divergence,F1,1.0,fitch,0.0,
6c6sD_2ougC,19.0,7.0,4.0,8.0,9.0,2.0,complex,Amb,0.692,fitch,36.8,
7kdtB_6z4uA,,,,,,,,,,,,timeout after 120s
