pair_id,method,n_leaves,n_F1c_leaves,n_F2c_leaves,n_Amc_leaves,parsimony_score,parsimony_p,nn_concordance,nn_concordance_p,nn3_concordance,nn3_concordance_p,D_statistic,morans_I,morans_p,morans_z,morans_lambda_max,morans_max_perm,morans_I_norm,morans_n,morans_note,notes,n_clusters,morans_p_bh,parsimony_p_bh,nn_concordance_p_bh,nn3_concordance_p_bh
1iytA_2naoF,Boltz2,12,6,5,1,,,,,,,,-0.0925,0.4366,-0.063,0.0446,0.0314,-0.0127,12,,,12,0.6877500000000001,,,
1iytA_2naoF,ESM,12,4,3,5,,,,,,,,-0.082,0.2747,0.432,0.0446,0.0339,0.0711,12,,,12,0.36344923076923075,,,
1iytA_2naoF,MSAT,12,0,0,12,,,,,,,,,,,,,,1,n<3,no_F1F2_split,12,,,,
1iytA_2naoF,CCMpred,12,0,0,12,,,,,,,,,,,,,,1,n<3,no_F1F2_split,12,,,,
1iytA_2naoF,DDG,12,0,0,12,,,,,,,,-0.0035,0.002,3.928,0.0446,0.0403,0.666,12,,no_F1F2_split,12,0.0043,,,
1iytA_2naoF,S4PRED,12,4,8,0,,,,,,,,-0.1277,0.987,-1.631,0.0446,0.0049,-0.3839,12,,,12,0.9870000000000001,,,
1jfkA_2nxqB,AF2,100,0,3,97,,,,,,,,-0.0077,0.037,2.86,0.0227,0.0001,0.2344,100,,no_F1F2_split,100,0.12238461538461538,,,
1jfkA_2nxqB,AF3,100,0,5,95,,,,,,,,-0.0085,0.048,2.271,0.0227,-0.0068,0.5072,100,,no_F1F2_split,100,0.1376,,,
1jfkA_2nxqB,Boltz2,100,31,22,47,,,,,,,,-0.0083,0.024,2.93,0.0227,0.0071,0.1063,100,,,100,0.15,,,
1jfkA_2nxqB,ESM,100,39,18,43,,,,,,,,-0.0044,0.002,8.948,0.0227,0.0063,0.3463,100,,,100,0.00819047619047619,,,
1jfkA_2nxqB,MSAT,100,4,6,90,,,,,,,,-0.0513,0.8402,-0.813,-0.0,-0.0339,-0.0832,21,,,100,0.999,,,
1jfkA_2nxqB,CCMpred,100,0,1,99,,,,,,,,-0.0492,0.2408,0.432,-0.0,-0.0364,0.0576,21,,no_F1F2_split,100,0.6983199999999999,,,
1jfkA_2nxqB,DDG,100,30,25,45,,,,,,,,-0.0089,0.041,2.13,0.0227,0.0124,0.0534,100,,,100,0.06079310344827587,,,
1jfkA_2nxqB,S4PRED,100,0,0,100,,,,,,,,-0.0097,0.1379,0.799,0.0227,0.0069,0.0257,100,,no_F1F2_split,100,0.23253725490196075,,,
1kctA_3t1pA,AF2,100,11,11,78,,,,,,,,-0.0114,0.989,-1.875,0.0246,0.0139,-0.0539,100,,,100,0.989,,,
1kctA_3t1pA,AF3,100,17,4,79,,,,,,,,-0.0102,0.4635,-0.088,0.0246,0.02,-0.0023,100,,,100,0.6039545454545455,,,
1kctA_3t1pA,Boltz2,100,3,3,94,,,,,,,,-0.0101,0.4066,0.044,0.0246,0.0161,0.0017,100,,,100,0.6629347826086956,,,
1kctA_3t1pA,ESM,100,2,11,87,,,,,,,,-0.0068,0.007,4.449,0.0246,0.0076,0.1891,100,,,100,0.02075862068965517,,,
1kctA_3t1pA,MSAT,100,0,0,100,,,,,,,,-0.0542,0.8561,-0.969,0.0,-0.04,-0.1244,20,,no_F1F2_split,100,0.999,,,
1kctA_3t1pA,CCMpred,100,0,0,100,,,,,,,,-0.051,0.1289,1.314,0.0,-0.0477,0.3258,20,,no_F1F2_split,100,0.46726249999999997,,,
1kctA_3t1pA,DDG,100,27,27,46,,,,,,,,-0.0078,0.007,3.382,0.0246,0.0158,0.0893,100,,,100,0.012541666666666666,,,
1kctA_3t1pA,S4PRED,100,2,0,98,,,,,,,,-0.0094,0.1149,1.138,0.0246,0.016,0.0261,100,,no_F1F2_split,100,0.199348,,,
1miqB_1qs8B,AF2,100,1,5,94,,,,,,,,-0.0094,0.2767,0.355,0.1353,0.0993,0.006,100,,,100,0.5063021276595745,,,
1miqB_1qs8B,AF3,100,11,16,73,,,,,,,,-0.0096,0.3317,0.168,0.1353,0.1006,0.0043,100,,,100,0.5093964285714285,,,
1miqB_1qs8B,Boltz2,100,5,3,92,,,,,,,,-0.0041,0.024,2.424,0.1353,0.0984,0.0554,100,,,100,0.15,,,
1miqB_1qs8B,ESM,100,8,0,92,,,,,,,,-0.0029,0.016,3.129,0.1353,0.055,0.1108,100,,no_F1F2_split,100,0.03621052631578948,,,
1miqB_1qs8B,MSAT,100,0,0,100,,,,,,,,-0.0957,0.9401,-1.285,0.0716,0.025,-0.2518,15,,no_F1F2_split,100,0.999,,,
1miqB_1qs8B,CCMpred,100,0,0,100,,,,,,,,-0.0257,0.002,3.771,0.0716,-0.0404,1.473,15,,no_F1F2_split,100,0.058,,,
1miqB_1qs8B,DDG,100,22,22,56,,,,,,,,-0.0097,0.3347,0.153,0.1353,0.0979,0.0034,100,,,100,0.3690282051282051,,,
1miqB_1qs8B,S4PRED,100,0,0,100,,,,,,,,-0.0062,0.0759,1.477,0.1353,0.1079,0.0327,100,,no_F1F2_split,100,0.15746190476190475,,,
1mnmD_1mnmC,AF2,100,0,0,100,,,,,,,,-0.0107,0.6064,-0.414,0.0748,0.0636,-0.0084,100,,no_F1F2_split,100,0.7669176470588236,,,
1mnmD_1mnmC,AF3,100,0,0,100,,,,,,,,-0.0058,0.022,2.945,0.0748,0.0566,0.0647,100,,no_F1F2_split,100,0.09828571428571428,,,
1mnmD_1mnmC,Boltz2,100,0,0,100,,,,,,,,,,,,,,0,n<3,no_F1F2_split,100,,,,
1mnmD_1mnmC,ESM,100,0,0,100,,,,,,,,-0.0036,0.003,4.515,0.0748,0.0628,0.089,100,,no_F1F2_split,100,0.011727272727272727,,,
1mnmD_1mnmC,MSAT,100,0,0,100,,,,,,,,-0.0649,0.8871,-1.198,0.0791,0.0252,-0.158,20,,no_F1F2_split,100,0.999,,,
1mnmD_1mnmC,CCMpred,100,0,0,100,,,,,,,,-0.0495,0.3666,0.255,0.0791,0.0377,0.0348,20,,no_F1F2_split,100,0.81983,,,
1mnmD_1mnmC,DDG,100,2,1,97,,,,,,,,0.0036,0.001,9.365,0.0748,0.062,0.1896,100,,,100,0.0026875000000000002,,,
1mnmD_1mnmC,S4PRED,100,40,24,36,,,,,,,,-0.0104,0.5045,-0.223,0.0748,0.0428,-0.0057,100,,,100,0.5423374999999999,,,
1nocA_1qomB,AF2,100,0,1,99,,,,,,,,-0.0108,0.4895,-0.174,0.179,0.1588,-0.0042,100,,no_F1F2_split,100,0.6901147540983606,,,
1nocA_1qomB,AF3,100,6,4,90,,,,,,,,0.0032,0.005,3.944,0.179,0.147,0.0846,100,,,100,0.03909090909090909,,,
1nocA_1qomB,Boltz2,100,1,6,93,,,,,,,,-0.0062,0.1199,1.128,0.179,0.1615,0.0224,100,,,100,0.37781249999999994,,,
1nocA_1qomB,ESM,100,2,2,96,,,,,,,,-0.0098,0.3457,0.139,0.179,0.1478,0.0016,100,,,100,0.43087246376811594,,,
1nocA_1qomB,MSAT,100,0,0,100,,,,,,,,-0.062,0.5704,-0.329,0.1425,0.1208,-0.0366,19,,no_F1F2_split,100,0.999,,,
1nocA_1qomB,CCMpred,100,0,0,100,,,,,,,,,,,,,,19,zero_variance,no_F1F2_split,100,,,,
1nocA_1qomB,DDG,100,20,21,59,,,,,,,,-0.0088,0.2647,0.394,0.179,0.1516,0.008,100,,,100,0.3206225352112676,,,
1nocA_1qomB,S4PRED,100,0,0,100,,,,,,,,-0.0102,0.4146,0.003,0.179,0.1235,-0.0004,100,,no_F1F2_split,100,0.49521666666666664,,,
1nqjB_1nqdA,AF2,100,4,21,75,,,,,,,,0.0539,0.001,12.863,0.2413,0.1928,0.3154,100,,,100,0.012285714285714287,,,
1nqjB_1nqdA,AF3,100,17,17,66,,,,,,,,0.0446,0.001,11.181,0.2413,0.1994,0.2612,100,,,100,0.0172,,,
1nqjB_1nqdA,Boltz2,100,9,8,83,,,,,,,,-0.0071,0.1768,0.718,0.2413,0.1729,0.0165,100,,,100,0.4275,,,
1nqjB_1nqdA,ESM,100,17,12,71,,,,,,,,-0.0066,0.1618,0.764,0.2413,0.1819,0.0182,100,,,100,0.22581935483870968,,,
1nqjB_1nqdA,MSAT,100,2,1,97,,,,,,,,-0.0864,0.7143,-0.7,0.1513,0.0126,-0.1782,15,,,100,0.999,,,
1nqjB_1nqdA,CCMpred,100,0,0,100,,,,,,,,,,,,,,15,zero_variance,no_F1F2_split,100,,,,
1nqjB_1nqdA,DDG,100,2,2,96,,,,,,,,-0.0046,0.1129,1.188,0.2413,0.1951,0.0266,100,,,100,0.14937538461538463,,,
1nqjB_1nqdA,S4PRED,100,0,3,97,,,,,,,,0.0879,0.001,20.091,0.2413,0.1398,0.6543,100,,no_F1F2_split,100,0.009555555555555557,,,
1nrjB_2gedB,AF2,100,20,22,58,,,,,,,,-0.003,0.029,2.352,0.1198,0.1089,0.06,100,,,100,0.1032,,,
1nrjB_2gedB,AF3,100,19,24,57,,,,,,,,-0.0016,0.012,2.86,0.1198,0.1031,0.0752,100,,,100,0.06576470588235293,,,
1nrjB_2gedB,Boltz2,100,33,25,42,,,,,,,,0.0139,0.001,8.58,0.1198,0.112,0.1963,100,,,100,0.012499999999999999,,,
1nrjB_2gedB,ESM,100,11,9,80,,,,,,,,-0.0049,0.039,1.95,0.1198,0.1117,0.043,100,,,100,0.069875,,,
1nrjB_2gedB,MSAT,100,0,0,100,,,,,,,,-0.0578,0.3756,0.133,0.0435,0.0266,0.0123,18,,no_F1F2_split,100,0.999,,,
1nrjB_2gedB,CCMpred,100,0,0,100,,,,,,,,,,,,,,18,zero_variance,no_F1F2_split,100,,,,
1nrjB_2gedB,DDG,100,33,37,30,,,,,,,,0.0535,0.001,23.133,0.1198,0.1068,0.5446,100,,,100,0.0026875000000000002,,,
1nrjB_2gedB,S4PRED,100,0,0,100,,,,,,,,-0.0024,0.021,2.732,0.1198,0.0982,0.0714,100,,no_F1F2_split,100,0.06227586206896552,,,
1qb3A_3qy2A,AF2,100,3,1,96,,,,,,,,-0.0076,0.1159,1.13,0.0814,0.0713,0.0312,100,,,100,0.3020424242424242,,,
1qb3A_3qy2A,AF3,100,8,2,90,,,,,,,,-0.0086,0.2078,0.76,0.0814,0.0767,0.0173,100,,,100,0.3723083333333334,,,
1qb3A_3qy2A,Boltz2,100,12,2,86,,,,,,,,-0.0078,0.1209,1.172,0.0814,0.0795,0.0262,100,,,100,0.37781249999999994,,,
1qb3A_3qy2A,ESM,100,2,0,98,,,,,,,,-0.0104,0.5265,-0.162,0.0814,0.056,-0.0039,100,,no_F1F2_split,100,0.6377323943661971,,,
1qb3A_3qy2A,MSAT,100,0,0,100,,,,,,,,-0.1301,0.999,-5.068,0.102,0.0405,-0.8322,20,,no_F1F2_split,100,0.999,,,
1qb3A_3qy2A,CCMpred,100,0,0,100,,,,,,,,,,,,,,20,zero_variance,no_F1F2_split,100,,,,
1qb3A_3qy2A,DDG,100,9,7,84,,,,,,,,0.0041,0.001,7.062,0.0814,0.0753,0.1668,100,,,100,0.0026875000000000002,,,
1qb3A_3qy2A,S4PRED,100,14,13,73,,,,,,,,-0.0012,0.005,4.22,0.0814,0.0776,0.1016,100,,,100,0.02388888888888889,,,
1qlnA_1h38D,AF2,100,1,4,95,,,,,,,,-0.0108,0.4845,-0.176,0.1564,0.1277,-0.0048,100,,,100,0.6901147540983606,,,
1qlnA_1h38D,AF3,100,6,15,79,,,,,,,,-0.0094,0.2947,0.244,0.1564,0.1077,0.0061,100,,,100,0.48738846153846155,,,
1qlnA_1h38D,Boltz2,100,2,0,98,,,,,,,,-0.0132,0.9411,-1.085,0.1564,0.1303,-0.0223,100,,no_F1F2_split,100,0.9942567567567568,,,
1qlnA_1h38D,ESM,100,21,28,51,,,,,,,,-0.0025,0.024,2.745,0.1564,0.1363,0.0519,100,,,100,0.05034146341463415,,,
1qlnA_1h38D,MSAT,100,0,0,100,,,,,,,,-0.1134,0.4885,-0.131,0.0011,-0.0248,-0.0264,10,,no_F1F2_split,100,0.999,,,
1qlnA_1h38D,CCMpred,100,0,0,100,,,,,,,,,,,,,,10,zero_variance,no_F1F2_split,100,,,,
1qlnA_1h38D,DDG,100,40,53,7,,,,,,,,0.0466,0.001,21.157,0.1564,0.1354,0.3898,100,,,100,0.0026875000000000002,,,
1qlnA_1h38D,S4PRED,100,0,0,100,,,,,,,,-0.003,0.021,2.612,0.1564,0.1132,0.0579,100,,no_F1F2_split,100,0.06227586206896552,,,
1rk4B_1k0nA,AF2,100,8,13,79,,,,,,,,0.0039,0.016,2.887,0.1966,0.1627,0.0812,100,,,100,0.06254545454545456,,,
1rk4B_1k0nA,AF3,100,8,13,79,,,,,,,,0.0049,0.013,3.078,0.1966,0.1709,0.083,100,,,100,0.06576470588235293,,,
1rk4B_1k0nA,Boltz2,100,5,9,86,,,,,,,,-0.0102,0.4486,-0.043,0.1966,0.1652,-0.0007,100,,,100,0.6877500000000001,,,
1rk4B_1k0nA,ESM,100,17,11,72,,,,,,,,0.0362,0.001,11.374,0.1966,0.1481,0.2928,100,,,100,0.005058823529411765,,,
1rk4B_1k0nA,MSAT,100,0,0,100,,,,,,,,-0.066,0.4376,0.033,0.1312,0.0115,0.008,16,,no_F1F2_split,100,0.999,,,
1rk4B_1k0nA,CCMpred,100,0,0,100,,,,,,,,,,,,,,16,zero_variance,no_F1F2_split,100,,,,
1rk4B_1k0nA,DDG,100,16,12,72,,,,,,,,0.0097,0.005,3.995,0.1966,0.1755,0.1069,100,,,100,0.009555555555555555,,,
1rk4B_1k0nA,S4PRED,100,14,0,86,,,,,,,,0.0031,0.013,2.882,0.1966,0.1726,0.0725,100,,no_F1F2_split,100,0.043,,,
1svfC_4wsgC,AF2,4,1,2,1,,,,,,,,-0.2817,0.001,1.929,-0.0,-0.2817,1.0,4,,,4,0.012285714285714287,,,
1svfC_4wsgC,AF3,4,1,1,2,,,,,,,,-0.2832,0.028,1.914,-0.0,-0.2832,1.0,4,,,4,0.10253846153846154,,,
1svfC_4wsgC,Boltz2,4,0,0,4,,,,,,,,-0.3357,0.5674,-0.138,-0.0,-0.2812,-0.0458,4,,no_F1F2_split,4,0.8183653846153847,,,
1svfC_4wsgC,ESM,4,1,1,2,,,,,,,,-0.3357,0.5455,-0.182,-0.0,-0.3,-0.0712,4,,,4,0.6515694444444444,,,
1svfC_4wsgC,MSAT,4,0,1,3,,,,,,,,,,,,,,1,n<3,no_F1F2_split,4,,,,
1svfC_4wsgC,CCMpred,4,0,0,4,,,,,,,,,,,,,,1,n<3,no_F1F2_split,4,,,,
1svfC_4wsgC,DDG,4,2,1,1,,,,,,,,-0.2839,0.028,1.903,-0.0,-0.2839,1.0,4,,,4,0.04378181818181818,,,
1svfC_4wsgC,S4PRED,4,1,2,1,,,,,,,,-0.2847,0.028,1.886,-0.0,-0.2847,1.0,4,,,4,0.07767741935483871,,,
1wp8C_5ejbC,AF2,15,5,5,5,,,,,,,,-0.0514,0.1379,0.926,0.0984,0.0439,0.1738,15,,,15,0.32942777777777776,,,
1wp8C_5ejbC,AF3,15,6,5,4,,,,,,,,-0.0428,0.0869,1.307,0.0984,0.0277,0.289,15,,,15,0.20198378378378382,,,
1wp8C_5ejbC,Boltz2,15,1,1,13,,,,,,,,-0.0649,0.3087,0.364,0.0984,-0.0009,0.0933,15,,,15,0.5788125,,,
1wp8C_5ejbC,ESM,15,4,4,7,,,,,,,,-0.0654,0.3227,0.254,0.0984,0.0217,0.065,15,,,15,0.40812058823529407,,,
1wp8C_5ejbC,MSAT,15,1,0,14,,,,,,,,,,,,,,1,n<3,no_F1F2_split,15,,,,
1wp8C_5ejbC,CCMpred,15,0,0,15,,,,,,,,,,,,,,1,n<3,no_F1F2_split,15,,,,
1wp8C_5ejbC,DDG,15,9,5,1,,,,,,,,0.0228,0.009,4.024,0.0984,0.0548,0.7462,15,,,15,0.015176470588235293,,,
1wp8C_5ejbC,S4PRED,15,5,8,2,,,,,,,,0.0068,0.002,3.359,0.0984,0.0085,0.9797,15,,,15,0.013230769230769232,,,
1x0gD_1x0gA,AF2,100,19,20,61,,,,,,,,0.0059,0.001,6.106,0.1505,0.1004,0.1453,100,,,100,0.012285714285714287,,,
1x0gD_1x0gA,AF3,100,21,23,56,,,,,,,,-0.0052,0.0549,1.903,0.1505,0.089,0.0493,100,,,100,0.14754375,,,
1x0gD_1x0gA,Boltz2,100,0,0,100,,,,,,,,,,,,,,100,zero_variance,no_F1F2_split,100,,,,
1x0gD_1x0gA,ESM,100,19,19,62,,,,,,,,-0.0046,0.031,2.356,0.1505,0.1245,0.0405,100,,,100,0.06059090909090909,,,
1x0gD_1x0gA,MSAT,100,5,2,93,,,,,,,,-0.0557,0.4965,-0.315,0.2182,0.1796,-0.025,21,,,100,0.999,,,
1x0gD_1x0gA,CCMpred,100,0,0,100,,,,,,,,-0.0701,0.8971,-1.031,0.2182,0.0771,-0.158,21,,no_F1F2_split,100,0.9684964285714287,,,
1x0gD_1x0gA,DDG,100,12,9,79,,,,,,,,-0.0099,0.3237,0.112,0.1505,0.1103,0.002,100,,,100,0.36153506493506493,,,
1x0gD_1x0gA,S4PRED,100,1,0,99,,,,,,,,-0.01,0.3786,0.032,0.1505,0.1177,0.0009,100,,no_F1F2_split,100,0.48596417910447753,,,
1xezA_3o44A,AF2,7,0,0,7,,,,,,,,-0.1925,0.8332,-0.92,0.0,-0.0775,-0.2897,7,,no_F1F2_split,7,0.9070278481012659,,,
1xezA_3o44A,AF3,7,0,0,7,,,,,,,,-0.1769,0.6304,-0.402,0.0,-0.074,-0.1099,7,,no_F1F2_split,7,0.7720619718309858,,,
1xezA_3o44A,Boltz2,7,0,0,7,,,,,,,,-0.1449,0.1758,0.784,0.0,-0.0697,0.2243,7,,no_F1F2_split,7,0.4275,,,
1xezA_3o44A,ESM,7,0,0,7,,,,,,,,-0.1161,0.03,1.927,0.0,-0.0873,0.6372,7,,no_F1F2_split,7,0.060000000000000005,,,
1xezA_3o44A,MSAT,7,0,0,7,,,,,,,,,,,,,,1,n<3,no_F1F2_split,7,,,,
1xezA_3o44A,CCMpred,7,0,0,7,,,,,,,,,,,,,,1,n<3,no_F1F2_split,7,,,,
1xezA_3o44A,DDG,7,1,3,3,,,,,,,,-0.1549,0.3187,0.445,0.0,-0.1397,0.4358,7,,,7,0.36153506493506493,,,
1xezA_3o44A,S4PRED,7,0,0,7,,,,,,,,-0.1669,0.4785,-0.042,0.0,-0.08,-0.0031,7,,no_F1F2_split,7,0.5208987341772151,,,
1xjuB_1xjtA,AF2,100,7,9,84,,,,,,,,0.0076,0.001,5.224,0.1942,0.1366,0.1207,100,,,100,0.012285714285714287,,,
1xjuB_1xjtA,AF3,100,17,22,61,,,,,,,,0.0175,0.001,7.377,0.1942,0.1431,0.1803,100,,,100,0.0172,,,
1xjuB_1xjtA,Boltz2,100,4,7,89,,,,,,,,-0.0074,0.1568,0.81,0.1942,0.1128,0.0219,100,,,100,0.40551724137931033,,,
1xjuB_1xjtA,ESM,100,17,20,63,,,,,,,,0.0543,0.001,18.281,0.1942,0.1186,0.5003,100,,,100,0.005058823529411765,,,
1xjuB_1xjtA,MSAT,100,1,0,99,,,,,,,,-0.0633,0.7433,-0.5,0.1135,-0.0094,-0.0915,18,,no_F1F2_split,100,0.999,,,
1xjuB_1xjtA,CCMpred,100,0,0,100,,,,,,,,,,,,,,18,zero_variance,no_F1F2_split,100,,,,
1xjuB_1xjtA,DDG,100,27,23,50,,,,,,,,0.0128,0.002,6.209,0.1942,0.1475,0.1452,100,,,100,0.0043,,,
1xjuB_1xjtA,S4PRED,100,15,3,82,,,,,,,,0.0172,0.002,7.304,0.1942,0.18,0.1436,100,,,100,0.013230769230769232,,,
1xtgB_3j97M,AF2,100,1,0,99,,,,,,,,-0.0001,0.004,3.922,0.1002,0.0818,0.1091,100,,no_F1F2_split,100,0.03127272727272728,,,
1xtgB_3j97M,AF3,100,4,0,96,,,,,,,,-0.0058,0.0689,1.616,0.1002,0.0864,0.045,100,,no_F1F2_split,100,0.17176111111111114,,,
1xtgB_3j97M,Boltz2,100,18,15,67,,,,,,,,-0.0088,0.2458,0.539,0.1002,0.0911,0.0127,100,,,100,0.5162837837837838,,,
1xtgB_3j97M,ESM,100,38,42,20,,,,,,,,-0.0032,0.017,2.781,0.1002,0.0801,0.0768,100,,,100,0.037487179487179494,,,
1xtgB_3j97M,MSAT,100,0,0,100,,,,,,,,,,,,,,2,n<3,no_F1F2_split,100,,,,
1xtgB_3j97M,CCMpred,100,0,0,100,,,,,,,,,,,,,,20,zero_variance,no_F1F2_split,100,,,,
1xtgB_3j97M,DDG,100,18,9,73,,,,,,,,0.0221,0.001,12.759,0.1002,0.0866,0.3336,100,,,100,0.0026875000000000002,,,
1xtgB_3j97M,S4PRED,100,2,0,98,,,,,,,,-0.0095,0.3167,0.217,0.1002,0.0741,0.0076,100,,no_F1F2_split,100,0.4432412698412698,,,
1zk9A_3jv6A,AF2,99,36,37,26,,,,,,,,-0.0099,0.4236,0.04,0.14,0.124,0.002,99,,,99,0.6174508474576271,,,
1zk9A_3jv6A,AF3,99,24,34,41,,,,,,,,-0.0121,0.6923,-0.568,0.14,0.1339,-0.013,99,,,99,0.7938373333333334,,,
1zk9A_3jv6A,Boltz2,99,24,37,38,,,,,,,,-0.0133,0.8651,-0.955,0.14,0.1358,-0.0213,99,,,99,0.9942567567567568,,,
1zk9A_3jv6A,ESM,99,6,1,92,,,,,,,,0.0128,0.002,7.435,0.14,0.0751,0.2701,99,,,99,0.00819047619047619,,,
1zk9A_3jv6A,MSAT,99,1,0,98,,,,,,,,-0.0359,0.1199,1.038,0.1578,0.0653,0.1419,20,,no_F1F2_split,99,0.98925,,,
1zk9A_3jv6A,CCMpred,99,0,0,99,,,,,,,,,,,,,,20,zero_variance,no_F1F2_split,99,,,,
1zk9A_3jv6A,DDG,99,20,26,53,,,,,,,,0.0101,0.001,6.326,0.14,0.1259,0.1494,99,,,99,0.0026875000000000002,,,
1zk9A_3jv6A,S4PRED,99,18,17,64,,,,,,,,0.0014,0.006,3.656,0.14,0.1325,0.0813,99,,,99,0.027157894736842107,,,
2bzyB_2lqwA,AF2,85,32,19,34,,,,,,,,0.0667,0.001,11.019,0.2102,0.2026,0.3779,64,,,85,0.012285714285714287,,,
2bzyB_2lqwA,AF3,85,21,11,53,,,,,,,,0.0018,0.03,2.341,0.2102,0.1712,0.0944,64,,,85,0.10253846153846154,,,
2bzyB_2lqwA,Boltz2,85,13,7,65,,,,,,,,-0.0025,0.037,2.128,0.2102,0.1264,0.0937,64,,,85,0.17205882352941176,,,
2bzyB_2lqwA,ESM,85,38,14,33,,,,,,,,0.0555,0.001,10.15,0.2102,0.1834,0.3583,64,,,85,0.005058823529411765,,,
2bzyB_2lqwA,MSAT,85,1,0,84,,,,,,,,,,,,,,1,n<3,no_F1F2_split,85,,,,
2bzyB_2lqwA,CCMpred,85,0,0,85,,,,,,,,-0.3264,0.5514,0.087,0.0,-0.2303,0.067,4,,no_F1F2_split,85,0.81983,,,
2bzyB_2lqwA,DDG,85,23,23,39,,,,,,,,0.0279,0.001,6.309,0.2102,0.1604,0.2481,64,,,85,0.0026875000000000002,,,
2bzyB_2lqwA,S4PRED,85,4,0,81,,,,,,,,-0.0161,0.4306,-0.035,0.2102,0.143,-0.0017,64,,no_F1F2_split,85,0.49991688311688315,,,
