pdb_file,score_pdb1,score_pdb2,Fold,cluster_num,unique_fold_score
ShallowMsa_001_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,0.61208,0.70812,3qy2,001,0.0
ShallowMsa_001_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.60715,0.71149,3qy2,001,0.0
ShallowMsa_002_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.60843,0.69349,3qy2,002,0.0
ShallowMsa_002_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.39786,0.48731,3qy2,002,0.0
ShallowMsa_002_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb,0.43033,0.47754,3qy2,002,0.0
ShallowMsa_002_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.435,0.48141,3qy2,002,0.0
ShallowMsa_002_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,0.411,0.47817,3qy2,002,0.0
ShallowMsa_003_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.6052,0.71133,3qy2,003,0.0
ShallowMsa_003_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.60116,0.70907,3qy2,003,0.0
ShallowMsa_003_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.59846,0.70588,3qy2,003,0.0
ShallowMsa_003_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb,0.60648,0.71308,3qy2,003,0.0
ShallowMsa_003_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.58618,0.69503,3qy2,003,0.0
ShallowMsa_004_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.63668,0.74331,3qy2,004,0.0
ShallowMsa_004_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,0.6295,0.74033,3qy2,004,0.0
ShallowMsa_004_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.63245,0.7451,3qy2,004,0.0
ShallowMsa_004_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,0.60303,0.71268,3qy2,004,0.0
ShallowMsa_004_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.5728,0.68355,3qy2,004,0.0
ShallowMsa_005_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.66103,0.75838,3qy2,005,0.0
ShallowMsa_005_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,0.62909,0.72196,3qy2,005,0.0
ShallowMsa_005_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.63551,0.72571,3qy2,005,0.0
ShallowMsa_005_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,0.62888,0.71689,3qy2,005,0.0
ShallowMsa_005_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,0.60269,0.70377,3qy2,005,0.0
ShallowMsa_006_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.63331,0.73685,3qy2,006,0.0
ShallowMsa_006_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.62736,0.73096,3qy2,006,0.0
ShallowMsa_006_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.67261,0.76993,3qy2,006,0.0
ShallowMsa_006_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.65209,0.75883,3qy2,006,0.0
ShallowMsa_006_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.63073,0.73317,3qy2,006,0.0
ShallowMsa_007_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.67705,0.78727,3qy2,007,0.0
ShallowMsa_007_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb,0.60213,0.6945,3qy2,007,0.0
ShallowMsa_007_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.64432,0.74671,3qy2,007,0.0
ShallowMsa_007_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,0.56505,0.66609,3qy2,007,0.0
ShallowMsa_007_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.62117,0.71795,3qy2,007,0.0
ShallowMsa_008_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.70783,0.81598,3qy2,008,0.0
ShallowMsa_008_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,0.69119,0.80105,3qy2,008,0.0
ShallowMsa_008_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.69682,0.81192,3qy2,008,0.0
ShallowMsa_008_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,0.69084,0.80057,3qy2,008,0.0
ShallowMsa_008_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_000.pdb,0.68799,0.79856,3qy2,008,0.0
ShallowMsa_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0.69902,0.80489,3qy2,009,0.0
ShallowMsa_009_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,0.70872,0.81194,3qy2,009,0.0
ShallowMsa_009_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.69255,0.79827,3qy2,009,0.0
ShallowMsa_009_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,0.69115,0.78383,3qy2,009,0.0
ShallowMsa_009_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.68481,0.79039,3qy2,009,0.0
ShallowMsa_010_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.69411,0.79834,3qy2,010,0.0
ShallowMsa_010_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.6832,0.77742,3qy2,010,0.0
ShallowMsa_010_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.67955,0.78164,3qy2,010,0.0
ShallowMsa_010_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb,0.66765,0.77496,3qy2,010,0.0
ShallowMsa_010_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.66797,0.75191,3qy2,010,0.0
ShallowMsa_011_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,0.68518,0.7924,3qy2,011,0.0
ShallowMsa_011_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,0.67727,0.78646,3qy2,011,0.0
ShallowMsa_011_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.66292,0.77034,3qy2,011,0.0
ShallowMsa_011_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,0.67533,0.78226,3qy2,011,0.0
ShallowMsa_011_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.67739,0.79042,3qy2,011,0.0
ShallowMsa_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0.67505,0.77973,3qy2,012,0.0
ShallowMsa_012_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,0.68927,0.79379,3qy2,012,0.0
ShallowMsa_012_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.63537,0.73411,3qy2,012,0.0
ShallowMsa_012_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.6117,0.71531,3qy2,012,0.0
ShallowMsa_012_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,0.40246,0.47366,3qy2,012,0.0
ShallowMsa_013_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.66828,0.74765,3qy2,013,0.0
ShallowMsa_013_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.64007,0.71673,3qy2,013,0.0
ShallowMsa_013_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb,0.52433,0.61238,3qy2,013,0.0
ShallowMsa_013_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,0.47231,0.53139,3qy2,013,0.0
ShallowMsa_013_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.46044,0.52552,3qy2,013,0.0
ShallowMsa_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0.6823,0.79333,3qy2,014,0.0
ShallowMsa_014_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb,0.66034,0.76949,3qy2,014,0.0
ShallowMsa_014_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.68233,0.78842,3qy2,014,0.0
ShallowMsa_014_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,0.66205,0.76525,3qy2,014,0.0
ShallowMsa_014_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_000.pdb,0.64739,0.75495,3qy2,014,0.0
ShallowMsa_015_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.69629,0.80232,3qy2,015,0.0
ShallowMsa_015_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,0.6792,0.78748,3qy2,015,0.0
ShallowMsa_015_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.6613,0.76619,3qy2,015,0.0
ShallowMsa_015_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.69491,0.80176,3qy2,015,0.0
ShallowMsa_015_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_000.pdb,0.66705,0.77167,3qy2,015,0.0
ShallowMsa_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0.57627,0.635,3qy2,016,0.0
ShallowMsa_016_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,0.60829,0.6982,3qy2,016,0.0
ShallowMsa_016_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.58716,0.67354,3qy2,016,0.0
ShallowMsa_016_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,0.59624,0.68495,3qy2,016,0.0
ShallowMsa_016_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.56569,0.64076,3qy2,016,0.0
ShallowMsa_017_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.63464,0.73297,3qy2,017,0.0
ShallowMsa_017_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb,0.63083,0.73061,3qy2,017,0.0
ShallowMsa_017_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.62442,0.72313,3qy2,017,0.0
ShallowMsa_017_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,0.62368,0.7163,3qy2,017,0.0
ShallowMsa_017_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.59167,0.67606,3qy2,017,0.0
ShallowMsa_018_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.70819,0.81663,3qy2,018,0.0
ShallowMsa_018_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,0.69754,0.80487,3qy2,018,0.0
ShallowMsa_018_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.69466,0.8022,3qy2,018,0.0
ShallowMsa_018_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.63235,0.73253,3qy2,018,0.0
ShallowMsa_018_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,0.62437,0.72474,3qy2,018,0.0
ShallowMsa_019_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.70595,0.8196,3qy2,019,0.0
ShallowMsa_019_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb,0.69447,0.80859,3qy2,019,0.0
ShallowMsa_019_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.69278,0.80664,3qy2,019,0.0
ShallowMsa_019_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,0.63733,0.74465,3qy2,019,0.0
ShallowMsa_019_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.66404,0.77269,3qy2,019,0.0
ShallowMsa_020_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0.68959,0.79243,3qy2,020,0.0
ShallowMsa_020_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,0.59819,0.68852,3qy2,020,0.0
ShallowMsa_020_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.60061,0.68894,3qy2,020,0.0
ShallowMsa_020_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,0.60666,0.70465,3qy2,020,0.0
ShallowMsa_020_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.67106,0.7615,3qy2,020,0.0
ShallowMsa_021_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.68183,0.78774,3qy2,021,0.0
ShallowMsa_021_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,0.65479,0.74743,3qy2,021,0.0
ShallowMsa_021_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb,0.53401,0.62807,3qy2,021,0.0
ShallowMsa_021_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.57768,0.66666,3qy2,021,0.0
ShallowMsa_021_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_000.pdb,0.51493,0.58487,3qy2,021,0.0
ShallowMsa_022_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0.57664,0.67634,3qy2,022,0.0
ShallowMsa_022_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,0.48215,0.58394,3qy2,022,0.0
ShallowMsa_022_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.46419,0.56518,3qy2,022,0.0
ShallowMsa_022_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,0.55581,0.65534,3qy2,022,0.0
ShallowMsa_022_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,0.45607,0.54689,3qy2,022,0.0
ShallowMsa_023_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,0.59578,0.68994,3qy2,023,0.0
ShallowMsa_023_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,0.48949,0.59276,3qy2,023,0.0
ShallowMsa_023_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.50937,0.52609,3qy2,023,0.0
ShallowMsa_023_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,0.44913,0.53185,3qy2,023,0.0
ShallowMsa_023_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,0.40602,0.48953,3qy2,023,0.0
ShallowMsa_024_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,0.61337,0.70827,3qy2,024,0.0
ShallowMsa_024_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.61248,0.70682,3qy2,024,0.0
ShallowMsa_024_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.603,0.68933,3qy2,024,0.0
ShallowMsa_024_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.61401,0.69995,3qy2,024,0.0
ShallowMsa_024_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,0.37768,0.46942,3qy2,024,0.0
DeepMsa_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.53579,0.90925,4phq,Query,0.0
DeepMsa_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.52778,0.92245,4phq,Query,0.0
DeepMsa_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.53909,0.89792,4phq,Query,0.0
DeepMsa_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb,0.54182,0.89443,4phq,Query,0.0
DeepMsa_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,0.52317,0.85276,4phq,Query,0.0
DeepMsa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.49336,0.62787,2a73,Query,0.0
DeepMsa_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.49924,0.64747,2a73,Query,0.0
DeepMsa_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb,0.47847,0.64101,2a73,Query,0.0
DeepMsa_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.46676,0.65388,2a73,Query,0.0
DeepMsa_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.4704,0.67396,2a73,Query,0.0
ShallowMsa_000_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.38666,0.42552,2a73,000,0.2
ShallowMsa_000_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.34126,0.41426,2a73,000,0.2
ShallowMsa_000_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.27849,0.34916,2a73,000,0.2
ShallowMsa_000_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb,0.46413,0.54152,2a73,000,0.2
ShallowMsa_000_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.4264,0.36958,3l5n,000,0.2
ShallowMsa_001_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.35412,0.60182,2a73,001,0.2
ShallowMsa_001_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.37344,0.45545,2a73,001,0.2
ShallowMsa_001_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.30584,0.33636,2a73,001,0.2
ShallowMsa_001_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.40028,0.32314,3l5n,001,0.2
ShallowMsa_001_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.30354,0.4306,2a73,001,0.2
ShallowMsa_002_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.44288,0.6781,2a73,002,0.2
ShallowMsa_002_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.35802,0.34661,3l5n,002,0.2
ShallowMsa_002_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.41734,0.60636,2a73,002,0.2
ShallowMsa_002_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.32417,0.36481,2a73,002,0.2
ShallowMsa_002_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.32071,0.39166,2a73,002,0.2
ShallowMsa_003_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.30045,0.52039,2a73,003,0.0
ShallowMsa_003_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,0.30292,0.47953,2a73,003,0.0
ShallowMsa_003_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.30255,0.38368,2a73,003,0.0
ShallowMsa_003_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.2998,0.5147,2a73,003,0.0
ShallowMsa_003_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.30229,0.42404,2a73,003,0.0
ShallowMsa_004_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.30629,0.44205,2a73,004,0.0
ShallowMsa_004_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.30334,0.48809,2a73,004,0.0
ShallowMsa_004_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.30628,0.3954,2a73,004,0.0
ShallowMsa_004_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.30144,0.3586,2a73,004,0.0
ShallowMsa_004_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.24042,0.29696,2a73,004,0.0
ShallowMsa_005_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,0.40049,0.66678,2a73,005,0.0
ShallowMsa_005_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,0.34488,0.50696,2a73,005,0.0
ShallowMsa_005_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.36036,0.71276,2a73,005,0.0
ShallowMsa_005_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.37212,0.74725,2a73,005,0.0
ShallowMsa_005_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.427,0.65584,2a73,005,0.0
ShallowMsa_006_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.46615,0.55088,2a73,006,0.2
ShallowMsa_006_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.47286,0.41429,3l5n,006,0.2
ShallowMsa_006_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.47316,0.63594,2a73,006,0.2
ShallowMsa_006_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.45315,0.56776,2a73,006,0.2
ShallowMsa_006_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.45869,0.59664,2a73,006,0.2
ShallowMsa_007_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.34243,0.57076,2a73,007,0.0
ShallowMsa_007_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.45494,0.56784,2a73,007,0.0
ShallowMsa_007_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.32827,0.53105,2a73,007,0.0
ShallowMsa_007_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,0.32797,0.52637,2a73,007,0.0
ShallowMsa_007_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.4274,0.66045,2a73,007,0.0
ShallowMsa_008_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.30349,0.56852,2a73,008,0.0
ShallowMsa_008_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.29802,0.53274,2a73,008,0.0
ShallowMsa_008_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb,0.30433,0.57772,2a73,008,0.0
ShallowMsa_008_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,0.30111,0.48858,2a73,008,0.0
ShallowMsa_008_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.30408,0.56444,2a73,008,0.0
ShallowMsa_009_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,0.34595,0.34,3l5n,009,0.8
ShallowMsa_009_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,0.31314,0.29824,3l5n,009,0.8
ShallowMsa_009_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb,0.45096,0.41089,3l5n,009,0.8
ShallowMsa_009_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,0.34399,0.31563,3l5n,009,0.8
ShallowMsa_009_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.32857,0.3805,2a73,009,0.8
ShallowMsa_010_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,0.33711,0.3396,2a73,010,0.0
ShallowMsa_010_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,0.32502,0.64805,2a73,010,0.0
ShallowMsa_010_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.30915,0.37988,2a73,010,0.0
ShallowMsa_010_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb,0.30308,0.38192,2a73,010,0.0
ShallowMsa_010_unrelaxed_rank_005_alphafold2_ptm_model_1_seed_000.pdb,0.28935,0.3561,2a73,010,0.0
ShallowMsa_011_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.32802,0.53696,2a73,011,0.0
ShallowMsa_011_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,0.39505,0.60649,2a73,011,0.0
ShallowMsa_011_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,0.32078,0.38289,2a73,011,0.0
ShallowMsa_011_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb,0.31371,0.55203,2a73,011,0.0
ShallowMsa_011_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.31329,0.47992,2a73,011,0.0
ShallowMsa_012_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,0.31215,0.42691,2a73,012,0.0
ShallowMsa_012_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,0.31469,0.48441,2a73,012,0.0
ShallowMsa_012_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,0.31342,0.47049,2a73,012,0.0
ShallowMsa_012_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb,0.3106,0.41207,2a73,012,0.0
ShallowMsa_012_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,0.30918,0.41756,2a73,012,0.0
ShallowMsa_013_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,0.32817,0.54191,2a73,013,0.0
ShallowMsa_013_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,0.33094,0.59501,2a73,013,0.0
