FoldPair,File,recall_only_fold1,recall_only_fold2,cluster_num
1mnmD_1mnmC,msa_t__ShallowMsa_015.npy,0.18,0.04,015
1mnmD_1mnmC,msa_t__ShallowMsa_001.npy,0.18,0,001
1mnmD_1mnmC,msa_t__ShallowMsa_017.npy,0.04,0,017
1mnmD_1mnmC,msa_t__ShallowMsa_003.npy,0.04,0,003
1mnmD_1mnmC,msa_t__ShallowMsa_002.npy,0.07,0,002
1mnmD_1mnmC,msa_t__ShallowMsa_016.npy,0.29,0,016
1mnmD_1mnmC,msa_t__ShallowMsa_012.npy,0.36,0.11,012
1mnmD_1mnmC,msa_t__ShallowMsa_006.npy,0.18,0,006
1mnmD_1mnmC,msa_t__ShallowMsa_007.npy,0.11,0,007
1mnmD_1mnmC,msa_t__ShallowMsa_013.npy,0,0,013
1mnmD_1mnmC,msa_t__ShallowMsa_005.npy,0,0,005
1mnmD_1mnmC,msa_t__ShallowMsa_011.npy,0.04,0,011
1mnmD_1mnmC,msa_t__ShallowMsa_010.npy,0.07,0,010
1mnmD_1mnmC,msa_t__ShallowMsa_004.npy,0.14,0.04,004
1mnmD_1mnmC,msa_t__ShallowMsa_021.npy,0.14,0,021
1mnmD_1mnmC,msa_t__ShallowMsa_009.npy,0.14,0,009
1mnmD_1mnmC,msa_t__ShallowMsa_008.npy,0.04,0,008
1mnmD_1mnmC,msa_t__ShallowMsa_020.npy,0.18,0,020
1mnmD_1mnmC,msa_t__ShallowMsa_022.npy,0.04,0,022
1mnmD_1mnmC,msa_t__ShallowMsa_023.npy,0.07,0,023
1mnmD_1mnmC,msa_t__ShallowMsa_018.npy,0.25,0,018
1mnmD_1mnmC,msa_t__ShallowMsa_024.npy,0.07,0,024
1mnmD_1mnmC,msa_t__ShallowMsa_025.npy,0.04,0,025
1mnmD_1mnmC,msa_t__ShallowMsa_019.npy,0.04,0,019
5bmyA_5b3zA,msa_t__ShallowMsa_000.npy,0.17,0.11,000
5bmyA_5b3zA,msa_t__ShallowMsa_014.npy,0.17,0.06,014
5bmyA_5b3zA,msa_t__ShallowMsa_028.npy,0.23,0.19,028
5bmyA_5b3zA,msa_t__ShallowMsa_029.npy,0.17,0.12,029
5bmyA_5b3zA,msa_t__ShallowMsa_015.npy,0.22,0.08,015
5bmyA_5b3zA,msa_t__ShallowMsa_001.npy,0.2,0.09,001
5bmyA_5b3zA,msa_t__ShallowMsa_017.npy,0.22,0.06,017
5bmyA_5b3zA,msa_t__ShallowMsa_003.npy,0.26,0.08,003
5bmyA_5b3zA,msa_t__ShallowMsa_002.npy,0.26,0.14,002
5bmyA_5b3zA,msa_t__ShallowMsa_016.npy,0.21,0.06,016
5bmyA_5b3zA,msa_t__ShallowMsa_012.npy,0.23,0.1,012
5bmyA_5b3zA,msa_t__ShallowMsa_006.npy,0.24,0.07,006
5bmyA_5b3zA,msa_t__ShallowMsa_007.npy,0.2,0.09,007
5bmyA_5b3zA,msa_t__ShallowMsa_013.npy,0.17,0.08,013
5bmyA_5b3zA,msa_t__ShallowMsa_039.npy,0.19,0.13,039
5bmyA_5b3zA,msa_t__ShallowMsa_005.npy,0.17,0.08,005
5bmyA_5b3zA,msa_t__ShallowMsa_011.npy,0.22,0.15,011
5bmyA_5b3zA,msa_t__ShallowMsa_010.npy,0.11,0.05,010
5bmyA_5b3zA,msa_t__ShallowMsa_004.npy,0.17,0.04,004
5bmyA_5b3zA,msa_t__ShallowMsa_038.npy,0.17,0.14,038
5bmyA_5b3zA,msa_t__ShallowMsa_048.npy,0.14,0.05,048
5bmyA_5b3zA,msa_t__ShallowMsa_049.npy,0.17,0.03,049
5bmyA_5b3zA,msa_t__ShallowMsa_042.npy,0.22,0.15,042
5bmyA_5b3zA,msa_t__ShallowMsa_043.npy,0.19,0.13,043
5bmyA_5b3zA,msa_t__ShallowMsa_041.npy,0.21,0.11,041
5bmyA_5b3zA,msa_t__ShallowMsa_040.npy,0.21,0.09,040
5bmyA_5b3zA,msa_t__ShallowMsa_050.npy,0.11,0.05,050
5bmyA_5b3zA,msa_t__ShallowMsa_044.npy,0.19,0.11,044
5bmyA_5b3zA,msa_t__ShallowMsa_045.npy,0.19,0.11,045
5bmyA_5b3zA,msa_t__ShallowMsa_051.npy,0.1,0.03,051
5bmyA_5b3zA,msa_t__ShallowMsa_047.npy,0.21,0.08,047
5bmyA_5b3zA,msa_t__ShallowMsa_046.npy,0.23,0.09,046
5bmyA_5b3zA,msa_t__ShallowMsa_021.npy,0.21,0.08,021
5bmyA_5b3zA,msa_t__ShallowMsa_035.npy,0.17,0.08,035
5bmyA_5b3zA,msa_t__ShallowMsa_009.npy,0.16,0.06,009
5bmyA_5b3zA,msa_t__ShallowMsa_008.npy,0.22,0.08,008
5bmyA_5b3zA,msa_t__ShallowMsa_034.npy,0.18,0.11,034
5bmyA_5b3zA,msa_t__ShallowMsa_020.npy,0.17,0.06,020
5bmyA_5b3zA,msa_t__ShallowMsa_036.npy,0.16,0.09,036
5bmyA_5b3zA,msa_t__ShallowMsa_022.npy,0.17,0.05,022
5bmyA_5b3zA,msa_t__ShallowMsa_023.npy,0.2,0.06,023
5bmyA_5b3zA,msa_t__ShallowMsa_037.npy,0.17,0.12,037
5bmyA_5b3zA,msa_t__ShallowMsa_033.npy,0.21,0.13,033
5bmyA_5b3zA,msa_t__ShallowMsa_027.npy,0.26,0.11,027
5bmyA_5b3zA,msa_t__ShallowMsa_026.npy,0.21,0.12,026
5bmyA_5b3zA,msa_t__ShallowMsa_032.npy,0.21,0.14,032
5bmyA_5b3zA,msa_t__ShallowMsa_018.npy,0.16,0.04,018
5bmyA_5b3zA,msa_t__ShallowMsa_024.npy,0.19,0.08,024
5bmyA_5b3zA,msa_t__ShallowMsa_030.npy,0.12,0.05,030
5bmyA_5b3zA,msa_t__ShallowMsa_031.npy,0.24,0.15,031
5bmyA_5b3zA,msa_t__ShallowMsa_025.npy,0.2,0.05,025
5bmyA_5b3zA,msa_t__ShallowMsa_019.npy,0.16,0.11,019
4rmbB_4rmbA,msa_t__ShallowMsa_000.npy,0,0,000
4rmbB_4rmbA,msa_t__ShallowMsa_001.npy,0.02,0,001
4rmbB_4rmbA,msa_t__ShallowMsa_002.npy,0.01,0.01,002
5et5A_3ifaA,msa_t__ShallowMsa_000.npy,0.08,0.02,000
5et5A_3ifaA,msa_t__ShallowMsa_014.npy,0.07,0.01,014
5et5A_3ifaA,msa_t__ShallowMsa_028.npy,0.04,0.05,028
5et5A_3ifaA,msa_t__ShallowMsa_029.npy,0.05,0,029
5et5A_3ifaA,msa_t__ShallowMsa_015.npy,0.19,0.08,015
5et5A_3ifaA,msa_t__ShallowMsa_001.npy,0.14,0.02,001
5et5A_3ifaA,msa_t__ShallowMsa_017.npy,0.06,0.02,017
5et5A_3ifaA,msa_t__ShallowMsa_003.npy,0.1,0.03,003
5et5A_3ifaA,msa_t__ShallowMsa_002.npy,0.14,0.03,002
5et5A_3ifaA,msa_t__ShallowMsa_016.npy,0.05,0.02,016
5et5A_3ifaA,msa_t__ShallowMsa_012.npy,0.14,0.04,012
5et5A_3ifaA,msa_t__ShallowMsa_006.npy,0.1,0.02,006
5et5A_3ifaA,msa_t__ShallowMsa_007.npy,0.14,0.05,007
5et5A_3ifaA,msa_t__ShallowMsa_013.npy,0.09,0.03,013
5et5A_3ifaA,msa_t__ShallowMsa_039.npy,0.17,0.05,039
5et5A_3ifaA,msa_t__ShallowMsa_005.npy,0.08,0.02,005
5et5A_3ifaA,msa_t__ShallowMsa_011.npy,0.14,0.01,011
5et5A_3ifaA,msa_t__ShallowMsa_010.npy,0.21,0.05,010
5et5A_3ifaA,msa_t__ShallowMsa_004.npy,0.27,0.03,004
5et5A_3ifaA,msa_t__ShallowMsa_038.npy,0.02,0.02,038
5et5A_3ifaA,msa_t__ShallowMsa_063.npy,0.08,0.05,063
5et5A_3ifaA,msa_t__ShallowMsa_077.npy,0.11,0.01,077
5et5A_3ifaA,msa_t__ShallowMsa_088.npy,0.07,0.04,088
5et5A_3ifaA,msa_t__ShallowMsa_117.npy,0.04,0.02,117
5et5A_3ifaA,msa_t__ShallowMsa_103.npy,0.1,0.01,103
5et5A_3ifaA,msa_t__ShallowMsa_102.npy,0.07,0.02,102
5et5A_3ifaA,msa_t__ShallowMsa_116.npy,0.16,0.04,116
5et5A_3ifaA,msa_t__ShallowMsa_089.npy,0.04,0.03,089
5et5A_3ifaA,msa_t__ShallowMsa_076.npy,0.11,0.01,076
5et5A_3ifaA,msa_t__ShallowMsa_062.npy,0.17,0.04,062
5et5A_3ifaA,msa_t__ShallowMsa_074.npy,0.13,0.01,074
5et5A_3ifaA,msa_t__ShallowMsa_060.npy,0.07,0.02,060
5et5A_3ifaA,msa_t__ShallowMsa_048.npy,0.09,0.06,048
5et5A_3ifaA,msa_t__ShallowMsa_100.npy,0.12,0.05,100
5et5A_3ifaA,msa_t__ShallowMsa_114.npy,0.04,0.01,114
5et5A_3ifaA,msa_t__ShallowMsa_128.npy,0.09,0.05,128
5et5A_3ifaA,msa_t__ShallowMsa_129.npy,0.04,0.04,129
5et5A_3ifaA,msa_t__ShallowMsa_115.npy,0.1,0.05,115
5et5A_3ifaA,msa_t__ShallowMsa_101.npy,0.12,0.04,101
5et5A_3ifaA,msa_t__ShallowMsa_049.npy,0.14,0.03,049
5et5A_3ifaA,msa_t__ShallowMsa_061.npy,0.14,0.06,061
5et5A_3ifaA,msa_t__ShallowMsa_075.npy,0.07,0.02,075
5et5A_3ifaA,msa_t__ShallowMsa_059.npy,0.13,0.05,059
5et5A_3ifaA,msa_t__ShallowMsa_071.npy,0.14,0.07,071
5et5A_3ifaA,msa_t__ShallowMsa_065.npy,0.08,0.03,065
5et5A_3ifaA,msa_t__ShallowMsa_139.npy,0.02,0.01,139
5et5A_3ifaA,msa_t__ShallowMsa_105.npy,0.04,0.04,105
5et5A_3ifaA,msa_t__ShallowMsa_111.npy,0.08,0.01,111
5et5A_3ifaA,msa_t__ShallowMsa_110.npy,0.06,0.02,110
5et5A_3ifaA,msa_t__ShallowMsa_104.npy,0.05,0.08,104
5et5A_3ifaA,msa_t__ShallowMsa_138.npy,0.01,0,138
5et5A_3ifaA,msa_t__ShallowMsa_064.npy,0.11,0.01,064
5et5A_3ifaA,msa_t__ShallowMsa_070.npy,0.09,0.06,070
5et5A_3ifaA,msa_t__ShallowMsa_058.npy,0.09,0.03,058
5et5A_3ifaA,msa_t__ShallowMsa_066.npy,0.11,0,066
5et5A_3ifaA,msa_t__ShallowMsa_072.npy,0.11,0.01,072
5et5A_3ifaA,msa_t__ShallowMsa_099.npy,0.07,0.03,099
5et5A_3ifaA,msa_t__ShallowMsa_112.npy,0.15,0.05,112
5et5A_3ifaA,msa_t__ShallowMsa_106.npy,0.03,0.03,106
5et5A_3ifaA,msa_t__ShallowMsa_107.npy,0.17,0.04,107
5et5A_3ifaA,msa_t__ShallowMsa_113.npy,0.1,0.04,113
5et5A_3ifaA,msa_t__ShallowMsa_098.npy,0.06,0.03,098
5et5A_3ifaA,msa_t__ShallowMsa_073.npy,0.11,0.03,073
5et5A_3ifaA,msa_t__ShallowMsa_067.npy,0.03,0.01,067
5et5A_3ifaA,msa_t__ShallowMsa_042.npy,0.02,0.03,042
5et5A_3ifaA,msa_t__ShallowMsa_056.npy,0.13,0.02,056
5et5A_3ifaA,msa_t__ShallowMsa_081.npy,0.09,0.03,081
5et5A_3ifaA,msa_t__ShallowMsa_095.npy,0.06,0.04,095
5et5A_3ifaA,msa_t__ShallowMsa_136.npy,0.02,0.03,136
5et5A_3ifaA,msa_t__ShallowMsa_122.npy,0.08,0.02,122
5et5A_3ifaA,msa_t__ShallowMsa_123.npy,0.05,0.02,123
5et5A_3ifaA,msa_t__ShallowMsa_137.npy,0.04,0.05,137
5et5A_3ifaA,msa_t__ShallowMsa_094.npy,0.11,0.02,094
5et5A_3ifaA,msa_t__ShallowMsa_080.npy,0.06,0.01,080
5et5A_3ifaA,msa_t__ShallowMsa_057.npy,0.03,0.02,057
5et5A_3ifaA,msa_t__ShallowMsa_043.npy,0.04,0.02,043
5et5A_3ifaA,msa_t__ShallowMsa_055.npy,0.11,0.01,055
5et5A_3ifaA,msa_t__ShallowMsa_041.npy,0.07,0.06,041
5et5A_3ifaA,msa_t__ShallowMsa_069.npy,0.05,0.01,069
5et5A_3ifaA,msa_t__ShallowMsa_096.npy,0.08,0.03,096
5et5A_3ifaA,msa_t__ShallowMsa_082.npy,0.11,0.03,082
5et5A_3ifaA,msa_t__ShallowMsa_121.npy,0.08,0.02,121
5et5A_3ifaA,msa_t__ShallowMsa_135.npy,0.01,0.02,135
5et5A_3ifaA,msa_t__ShallowMsa_109.npy,0.13,0.06,109
5et5A_3ifaA,msa_t__ShallowMsa_108.npy,0.1,0.04,108
5et5A_3ifaA,msa_t__ShallowMsa_134.npy,0.06,0.07,134
5et5A_3ifaA,msa_t__ShallowMsa_120.npy,0.07,0.03,120
5et5A_3ifaA,msa_t__ShallowMsa_083.npy,0.12,0.05,083
5et5A_3ifaA,msa_t__ShallowMsa_097.npy,0.05,0.04,097
5et5A_3ifaA,msa_t__ShallowMsa_068.npy,0.15,0.02,068
5et5A_3ifaA,msa_t__ShallowMsa_040.npy,0.08,0.03,040
5et5A_3ifaA,msa_t__ShallowMsa_054.npy,0.13,0.03,054
5et5A_3ifaA,msa_t__ShallowMsa_078.npy,0.06,0.01,078
5et5A_3ifaA,msa_t__ShallowMsa_050.npy,0.09,0.02,050
5et5A_3ifaA,msa_t__ShallowMsa_044.npy,0.11,0.02,044
5et5A_3ifaA,msa_t__ShallowMsa_093.npy,0.13,0.03,093
5et5A_3ifaA,msa_t__ShallowMsa_087.npy,0.04,0.02,087
5et5A_3ifaA,msa_t__ShallowMsa_118.npy,0.05,0.02,118
5et5A_3ifaA,msa_t__ShallowMsa_124.npy,0.09,0.04,124
5et5A_3ifaA,msa_t__ShallowMsa_130.npy,0.08,0.03,130
5et5A_3ifaA,msa_t__ShallowMsa_131.npy,0.02,0.01,131
5et5A_3ifaA,msa_t__ShallowMsa_125.npy,0.05,0.03,125
5et5A_3ifaA,msa_t__ShallowMsa_119.npy,0.02,0.01,119
5et5A_3ifaA,msa_t__ShallowMsa_086.npy,0.05,0.03,086
5et5A_3ifaA,msa_t__ShallowMsa_092.npy,0.08,0.02,092
5et5A_3ifaA,msa_t__ShallowMsa_045.npy,0.09,0.03,045
5et5A_3ifaA,msa_t__ShallowMsa_051.npy,0.15,0.07,051
5et5A_3ifaA,msa_t__ShallowMsa_079.npy,0.16,0.03,079
5et5A_3ifaA,msa_t__ShallowMsa_047.npy,0.17,0.07,047
5et5A_3ifaA,msa_t__ShallowMsa_053.npy,0.09,0.02,053
5et5A_3ifaA,msa_t__ShallowMsa_084.npy,0.07,0.04,084
5et5A_3ifaA,msa_t__ShallowMsa_090.npy,0.06,0.01,090
5et5A_3ifaA,msa_t__ShallowMsa_133.npy,0.05,0.03,133
5et5A_3ifaA,msa_t__ShallowMsa_127.npy,0.07,0.04,127
5et5A_3ifaA,msa_t__ShallowMsa_126.npy,0.05,0.03,126
5et5A_3ifaA,msa_t__ShallowMsa_132.npy,0.07,0.01,132
5et5A_3ifaA,msa_t__ShallowMsa_091.npy,0.05,0.03,091
5et5A_3ifaA,msa_t__ShallowMsa_085.npy,0.09,0.02,085
5et5A_3ifaA,msa_t__ShallowMsa_052.npy,0.07,0.03,052
5et5A_3ifaA,msa_t__ShallowMsa_046.npy,0.16,0.03,046
5et5A_3ifaA,msa_t__ShallowMsa_021.npy,0.14,0.02,021
5et5A_3ifaA,msa_t__ShallowMsa_035.npy,0.01,0.02,035
5et5A_3ifaA,msa_t__ShallowMsa_009.npy,0.17,0.04,009
5et5A_3ifaA,msa_t__ShallowMsa_141.npy,0.01,0.02,141
5et5A_3ifaA,msa_t__ShallowMsa_140.npy,0.01,0.01,140
5et5A_3ifaA,msa_t__ShallowMsa_008.npy,0.2,0.02,008
5et5A_3ifaA,msa_t__ShallowMsa_034.npy,0.04,0.01,034
5et5A_3ifaA,msa_t__ShallowMsa_020.npy,0.08,0.01,020
5et5A_3ifaA,msa_t__ShallowMsa_036.npy,0.05,0.01,036
5et5A_3ifaA,msa_t__ShallowMsa_022.npy,0.15,0.07,022
5et5A_3ifaA,msa_t__ShallowMsa_142.npy,0.01,0.02,142
5et5A_3ifaA,msa_t__ShallowMsa_143.npy,0,0.01,143
5et5A_3ifaA,msa_t__ShallowMsa_023.npy,0.09,0.04,023
5et5A_3ifaA,msa_t__ShallowMsa_037.npy,0.07,0.02,037
5et5A_3ifaA,msa_t__ShallowMsa_033.npy,0.09,0.04,033
5et5A_3ifaA,msa_t__ShallowMsa_027.npy,0.16,0.06,027
5et5A_3ifaA,msa_t__ShallowMsa_026.npy,0.11,0.01,026
5et5A_3ifaA,msa_t__ShallowMsa_032.npy,0.06,0.01,032
5et5A_3ifaA,msa_t__ShallowMsa_018.npy,0.17,0.03,018
5et5A_3ifaA,msa_t__ShallowMsa_024.npy,0.07,0.02,024
5et5A_3ifaA,msa_t__ShallowMsa_030.npy,0.08,0.05,030
5et5A_3ifaA,msa_t__ShallowMsa_144.npy,0.02,0.01,144
5et5A_3ifaA,msa_t__ShallowMsa_145.npy,0.01,0.02,145
5et5A_3ifaA,msa_t__ShallowMsa_031.npy,0.02,0.02,031
5et5A_3ifaA,msa_t__ShallowMsa_025.npy,0.03,0.01,025
5et5A_3ifaA,msa_t__ShallowMsa_019.npy,0.12,0.03,019
3hdfA_3hdeA,msa_t__ShallowMsa_000.npy,0.03,0.38,000
3hdfA_3hdeA,msa_t__ShallowMsa_014.npy,0.01,0.26,014
3hdfA_3hdeA,msa_t__ShallowMsa_028.npy,0.02,0.1,028
3hdfA_3hdeA,msa_t__ShallowMsa_029.npy,0.03,0.3,029
3hdfA_3hdeA,msa_t__ShallowMsa_015.npy,0.02,0.22,015
3hdfA_3hdeA,msa_t__ShallowMsa_001.npy,0.04,0.32,001
3hdfA_3hdeA,msa_t__ShallowMsa_017.npy,0.01,0.14,017
3hdfA_3hdeA,msa_t__ShallowMsa_003.npy,0.12,0.19,003
3hdfA_3hdeA,msa_t__ShallowMsa_002.npy,0.05,0.22,002
3hdfA_3hdeA,msa_t__ShallowMsa_016.npy,0.01,0.29,016
3hdfA_3hdeA,msa_t__ShallowMsa_012.npy,0.06,0.28,012
3hdfA_3hdeA,msa_t__ShallowMsa_006.npy,0.01,0.28,006
3hdfA_3hdeA,msa_t__ShallowMsa_007.npy,0.03,0.33,007
3hdfA_3hdeA,msa_t__ShallowMsa_013.npy,0.04,0.23,013
3hdfA_3hdeA,msa_t__ShallowMsa_039.npy,0.08,0.3,039
3hdfA_3hdeA,msa_t__ShallowMsa_005.npy,0.02,0.31,005
3hdfA_3hdeA,msa_t__ShallowMsa_011.npy,0.01,0.16,011
3hdfA_3hdeA,msa_t__ShallowMsa_010.npy,0.03,0.24,010
3hdfA_3hdeA,msa_t__ShallowMsa_004.npy,0.02,0.16,004
3hdfA_3hdeA,msa_t__ShallowMsa_038.npy,0.04,0.28,038
3hdfA_3hdeA,msa_t__ShallowMsa_063.npy,0.05,0.29,063
3hdfA_3hdeA,msa_t__ShallowMsa_077.npy,0.03,0.22,077
3hdfA_3hdeA,msa_t__ShallowMsa_076.npy,0.04,0.15,076
3hdfA_3hdeA,msa_t__ShallowMsa_062.npy,0.04,0.06,062
3hdfA_3hdeA,msa_t__ShallowMsa_074.npy,0,0.15,074
3hdfA_3hdeA,msa_t__ShallowMsa_060.npy,0.03,0.04,060
3hdfA_3hdeA,msa_t__ShallowMsa_048.npy,0.03,0.18,048
3hdfA_3hdeA,msa_t__ShallowMsa_049.npy,0.04,0.03,049
3hdfA_3hdeA,msa_t__ShallowMsa_061.npy,0.08,0.38,061
3hdfA_3hdeA,msa_t__ShallowMsa_075.npy,0.06,0.28,075
3hdfA_3hdeA,msa_t__ShallowMsa_059.npy,0.04,0.1,059
3hdfA_3hdeA,msa_t__ShallowMsa_071.npy,0.07,0.27,071
3hdfA_3hdeA,msa_t__ShallowMsa_065.npy,0,0.03,065
3hdfA_3hdeA,msa_t__ShallowMsa_064.npy,0,0.01,064
3hdfA_3hdeA,msa_t__ShallowMsa_070.npy,0.07,0.2,070
3hdfA_3hdeA,msa_t__ShallowMsa_058.npy,0.07,0.08,058
3hdfA_3hdeA,msa_t__ShallowMsa_066.npy,0.01,0.06,066
3hdfA_3hdeA,msa_t__ShallowMsa_072.npy,0.03,0.24,072
3hdfA_3hdeA,msa_t__ShallowMsa_073.npy,0.01,0.29,073
3hdfA_3hdeA,msa_t__ShallowMsa_067.npy,0.07,0.06,067
3hdfA_3hdeA,msa_t__ShallowMsa_042.npy,0.03,0.07,042
3hdfA_3hdeA,msa_t__ShallowMsa_056.npy,0.04,0.1,056
3hdfA_3hdeA,msa_t__ShallowMsa_081.npy,0,0.14,081
3hdfA_3hdeA,msa_t__ShallowMsa_080.npy,0.03,0.2,080
3hdfA_3hdeA,msa_t__ShallowMsa_057.npy,0.04,0.07,057
3hdfA_3hdeA,msa_t__ShallowMsa_043.npy,0.03,0.17,043
3hdfA_3hdeA,msa_t__ShallowMsa_055.npy,0.02,0.03,055
3hdfA_3hdeA,msa_t__ShallowMsa_041.npy,0.04,0.26,041
3hdfA_3hdeA,msa_t__ShallowMsa_069.npy,0.06,0.16,069
3hdfA_3hdeA,msa_t__ShallowMsa_082.npy,0.02,0.16,082
3hdfA_3hdeA,msa_t__ShallowMsa_068.npy,0.02,0,068
3hdfA_3hdeA,msa_t__ShallowMsa_040.npy,0.08,0.09,040
3hdfA_3hdeA,msa_t__ShallowMsa_054.npy,0.02,0,054
3hdfA_3hdeA,msa_t__ShallowMsa_078.npy,0.03,0.17,078
3hdfA_3hdeA,msa_t__ShallowMsa_050.npy,0.03,0.1,050
3hdfA_3hdeA,msa_t__ShallowMsa_044.npy,0.04,0.18,044
3hdfA_3hdeA,msa_t__ShallowMsa_045.npy,0.01,0.08,045
3hdfA_3hdeA,msa_t__ShallowMsa_051.npy,0.02,0.13,051
3hdfA_3hdeA,msa_t__ShallowMsa_079.npy,0.02,0.29,079
3hdfA_3hdeA,msa_t__ShallowMsa_047.npy,0.1,0.29,047
3hdfA_3hdeA,msa_t__ShallowMsa_053.npy,0.02,0.13,053
3hdfA_3hdeA,msa_t__ShallowMsa_052.npy,0.03,0.07,052
3hdfA_3hdeA,msa_t__ShallowMsa_046.npy,0.04,0.25,046
3hdfA_3hdeA,msa_t__ShallowMsa_021.npy,0.03,0.11,021
3hdfA_3hdeA,msa_t__ShallowMsa_035.npy,0.04,0.33,035
3hdfA_3hdeA,msa_t__ShallowMsa_009.npy,0.01,0.31,009
3hdfA_3hdeA,msa_t__ShallowMsa_008.npy,0.04,0.19,008
3hdfA_3hdeA,msa_t__ShallowMsa_034.npy,0.02,0.13,034
3hdfA_3hdeA,msa_t__ShallowMsa_020.npy,0.08,0.38,020
3hdfA_3hdeA,msa_t__ShallowMsa_036.npy,0.03,0.26,036
3hdfA_3hdeA,msa_t__ShallowMsa_022.npy,0.01,0.29,022
3hdfA_3hdeA,msa_t__ShallowMsa_023.npy,0.04,0.19,023
3hdfA_3hdeA,msa_t__ShallowMsa_037.npy,0.06,0.19,037
3hdfA_3hdeA,msa_t__ShallowMsa_033.npy,0.08,0.32,033
3hdfA_3hdeA,msa_t__ShallowMsa_027.npy,0.06,0.29,027
3hdfA_3hdeA,msa_t__ShallowMsa_026.npy,0.11,0.2,026
3hdfA_3hdeA,msa_t__ShallowMsa_032.npy,0.06,0.37,032
3hdfA_3hdeA,msa_t__ShallowMsa_018.npy,0.06,0.23,018
3hdfA_3hdeA,msa_t__ShallowMsa_024.npy,0.09,0.32,024
3hdfA_3hdeA,msa_t__ShallowMsa_030.npy,0.09,0.15,030
3hdfA_3hdeA,msa_t__ShallowMsa_031.npy,0,0.19,031
3hdfA_3hdeA,msa_t__ShallowMsa_025.npy,0.12,0.22,025
3hdfA_3hdeA,msa_t__ShallowMsa_019.npy,0.06,0.18,019
4rwqB_4rwnA,msa_t__ShallowMsa_000.npy,0.07,0.04,000
4rwqB_4rwnA,msa_t__ShallowMsa_014.npy,0.08,0.05,014
4rwqB_4rwnA,msa_t__ShallowMsa_015.npy,0.01,0.02,015
4rwqB_4rwnA,msa_t__ShallowMsa_001.npy,0.02,0,001
4rwqB_4rwnA,msa_t__ShallowMsa_017.npy,0.02,0.01,017
4rwqB_4rwnA,msa_t__ShallowMsa_003.npy,0.02,0.01,003
4rwqB_4rwnA,msa_t__ShallowMsa_002.npy,0.08,0.08,002
